,Date,Sex,Tournament,Player_1,Player_2,Player_1_Odds,Player_2_Odds,Surface,Player_1_Rank,Player_2_Rank,Player_1_Rank_High,Player_2_Rank_High
1617,2023-01-31,Mens,Koblenz challenger0,Hugo Grenier,Lucas Gerch,1.52,2.43,Hard,148.0,281.0,,
1618,2023-01-31,Mens,Koblenz challenger0,Raphael Collignon,Gijs Brouwer,2.34,1.55,Hard,235.0,158.0,,
1619,2023-01-31,Mens,Koblenz challenger0,Alexandre Muller,Hans Rehberg Max,1.48,2.53,Hard,156.0,432.0,,
1620,2023-01-31,Mens,Koblenz challenger0,Zhizhen Zhang,Henri Squire,1.41,2.77,Hard,91.0,336.0,,
1621,2023-01-31,Mens,Koblenz challenger0,Zdenek Kolar,Antoine Bellier,2.39,1.53,Hard,214.0,190.0,,
1622,2023-01-31,Mens,Koblenz challenger0,Liam Broady,Robin Haase,1.36,2.99,Hard,175.0,245.0,,
1623,2023-01-31,Mens,Koblenz challenger0,Henri Laaksonen,Luca Nardi,2.46,1.5,Hard,189.0,164.0,,
1624,2023-01-31,Mens,Koblenz challenger0,Mats Rosenkranz,Laurent Lokoli,2.83,1.4,Hard,418.0,174.0,,
1625,2023-01-31,Mens,Koblenz challenger0,Roman Safiullin,Geoffrey Blancaneaux,1.31,3.27,Hard,82.0,151.0,,
1626,2023-01-31,Mens,Koblenz challenger0,Vasek Pospisil,Emilio Nava,1.56,2.32,Hard,100.0,182.0,,
1673,2023-02-01,Mens,Koblenz challenger0,Jan Choinski,Denis Yevseyev,1.5,2.48,Hard,252.0,307.0,,
1674,2023-02-01,Mens,Koblenz challenger0,Louis Wessels,Antoine Hoang,3.13,1.33,Hard,290.0,355.0,,
1675,2023-02-01,Mens,Koblenz challenger0,Antoine Escoffier,Marko Topo,1.35,3.04,Hard,201.0,474.0,,
1676,2023-02-01,Mens,Koblenz challenger0,Alexey Vatutin,Johannes Haerteis,1.46,2.6,Hard,287.0,694.0,,
1677,2023-02-01,Mens,Koblenz challenger0,Maximilian Marterer,Vitaliy Sachko,1.5,2.5,Hard,154.0,340.0,,
1678,2023-02-01,Mens,Koblenz challenger0,Adrian Andreev,Daniel Masur,1.71,2.05,Hard,205.0,269.0,,
1679,2023-02-01,Mens,Koblenz challenger0,Alexey Vatutin,Liam Broady,4.34,1.19,Hard,287.0,140.0,,
1680,2023-02-01,Mens,Koblenz challenger0,Zdenek Kolar,Zhizhen Zhang,3.54,1.27,Hard,192.0,92.0,,
1709,2023-02-02,Mens,Koblenz challenger0,Louis Wessels,Hugo Grenier,3.77,1.24,Hard,290.0,151.0,,
1710,2023-02-02,Mens,Koblenz challenger0,Alexandre Muller,Jan Choinski,1.61,2.22,Hard,173.0,252.0,,
1711,2023-02-02,Mens,Koblenz challenger0,Roman Safiullin,Antoine Escoffier,1.23,3.89,Hard,83.0,201.0,,
1738,2023-02-03,Mens,Koblenz challenger0,Maximilian Marterer,Adrian Andreev,1.5,2.49,Hard,154.0,205.0,,
1739,2023-02-03,Mens,Koblenz challenger0,Raphael Collignon,Henri Laaksonen,2.07,1.71,Hard,236.0,202.0,,
1740,2023-02-03,Mens,Koblenz challenger0,Vasek Pospisil,Mats Rosenkranz,1.22,3.96,Hard,111.0,417.0,,
1741,2023-02-03,Mens,Koblenz challenger0,Zdenek Kolar,Alexandre Muller,2.34,1.57,Hard,192.0,173.0,,
1765,2023-02-04,Mens,Koblenz challenger0,Raphael Collignon,Maximilian Marterer,2.75,1.43,Hard,236.0,154.0,,
1766,2023-02-04,Mens,Koblenz challenger0,Vasek Pospisil,Louis Wessels,1.18,4.73,Hard,111.0,290.0,,
1767,2023-02-04,Mens,Koblenz challenger0,Roman Safiullin,Alexey Vatutin,1.26,3.75,Hard,83.0,287.0,,
1796,2023-02-05,Mens,Koblenz challenger0,Vasek Pospisil,Zdenek Kolar,1.25,3.8,Hard,111.0,192.0,,
1797,2023-02-05,Mens,Koblenz challenger0,Roman Safiullin,Raphael Collignon,1.39,2.89,Hard,83.0,236.0,,
1798,2023-02-05,Mens,Koblenz challenger0,Roman Safiullin,Vasek Pospisil,1.99,1.77,Hard,83.0,111.0,,
