,Dog,Dog_Win_Count
432,Alex Rybakov,0
435,Niki Kaliyanda Poonacha,0
542,Joao Sousa,2
612,Aldin Setkic,0
793,Marius Copil,0
891,Victor Lilov,0
1058,Goncalo Oliveira,1
1078,Sachia Vickery,2
1109,Edoardo Lavagno,0
1133,Stefan Kozlov,3
1158,Tennys Sandgren,0
1180,Taylor Townsend,1
1324,Petr Nouza,0
1538,Brenda Fruhvirtova,1
1567,Oceane Dodin,2
1586,Lesia Tsurenko,1
1632,Shelby Rogers,0
1887,Cori Gauff,0
1935,Ankita Raina,0
1947,Juncheng Shang,2
1964,Aryna Sabalenka,0
1972,Antoine Bellier,0
1986,Marcelo Zormann,0
1996,Mate Valkusz,0
2005,Valentini Grammatikopoulou,0
2033,Natalija Stevanovic,0
2042,Andy Murray,0
2059,Marc Polmans,2
2069,Lucas Pouille,0
2072,Sho Shimabukuro,0
2106,Zhuoxuan Bai,1
2166,Timea Babos,1
2219,Patrick Kypson,0
2232,Denis Kudla,2
2265,Jeffrey John Wolf,3
2314,Arthur Cazaux,0
2343,Sloane Stephens,1
2348,Lin Zhu,0
2371,Naomi Osaka,0
2458,Thanasi Kokkinakis,2
2466,Louis Wessels,1
2476,Elina Avanesyan,1
2501,Reka Luca Jani,0
2536,Rafael Tosetto,0
2609,Lucija Ciric Bagaric,0
2614,Jannik Sinner,0
2637,Trey Hilderbrand,0
2646,Damien Wenger,1
2693,Illya Marchenko,0
2774,Polona Hercog,1
2828,Emilio Gomez,0
2895,Jules Marie,1
2920,Ulises Blanch,2
2991,Federico Gaio,0
3003,Hazem Naw,1
3010,Evan Furness,0
3045,Evgeny Karlovskiy,1
3076,Timo Stodder,0
3080,Constantin Bittoun Kouzmine,0
3112,Amandine Hesse,0
3168,Bogdan Bobrov,0
3174,Martina Trevisan,1
3240,Anna Siskova,1
3247,Xiaodi You,0
3253,Tibo Colson,1
3309,Fanny Stollar,0
3401,Sofya Lansere,1
3406,Zhizhen Zhang,4
3436,Sung Nam Ji,0
3445,Conny Perrin,2
3463,Rubin Statham,0
3466,Karolina Muchova,1
3479,Luca Giacomini,0
3482,Alexey Zakharov,2
3539,Guido Andreozzi,2
3558,Dominic Thiem,1
3616,Filip Krajinovic,1
3641,Sara Sorribes Tormo,5
3662,Joris De Loore,2
3666,Benjamin Privara Peter,2
3686,Nadia Podoroska,1
3700,Rafael Nadal,0
3708,Lorenzo Rottoli,1
3731,Andrea Vavassori,3
3741,Jessica Pegula,0
3795,Dominik Koepfer,2
3797,Angelique Kerber,2
3839,Anna Karolina Schmiedlova,8
3862,Kirill Kivattsev,1
3867,Henri Laaksonen,0
3873,Liam Gavrielides,3
3882,Marie Benoit,0
3893,Kateryna Baindl,0
3914,Benjamin Lock,2
3924,Anastasiya Soboleva,1
3953,Riccardo Bonadio,8
3980,Alexis Galarneau,2
3981,Thai Son Kwiatkowski,0
3990,Christian Langmo,0
4020,Alexander Stater,1
4025,Yanaki Milev,3
4042,Gianmarco Ferrari,1
4069,Oleksii Krutykh,1
4076,Johan Nikles,1
4080,Imanol Lopez Morillo,0
4084,Marcello Serafini,3
4097,Peter Heller,0
4130,Mohamed Safwat,2
4172,Marvin Moeller,2
4224,Dalila Jakupovic,3
4244,Robert Strombachs,1
4248,Dejana Radanovic,0
4257,Felix Gill,2
4286,Vlad Andrei Dancu,0
4297,Gerald Melzer,4
4298,Peter Buldorini,1
4300,Olaf Pieczkowski,0
4302,Ilya Snitari,0
4324,Nino Serdarusic,2
4325,Cem Ilkel,1
4369,Alessandro Giannessi,3
4394,Duarte Vale,1
4519,Blaz Rola,1
4650,Gilbert Klier Junior,0
4683,Ignacio Carou,0
4737,Arklon Huertas Del Pino,0
4743,Katarina Zavatska,2
4858,Svyatoslav Gulin,3
4865,Gabriela Lee,0
4870,Andreea Craciun Georgia,0
4878,Eric Vanshelboim,1
4894,Anton Matusevich,0
4918,Alevtina Ibragimova,0
4921,Daria Lodikova,0
4926,Martina Capurro Taborda,0
4928,Kristina Mladenovic,2
4933,Francisca Jorge,1
4936,Ylena In Albon,3
4938,Ylena In Albon,3
5026,Bautista Otegui Juan,1
5048,Gabriel Debru,4
5125,Diego Schwartzman,1
5193,Orlando Luz,8
5200,Gustavo Heide,7
5254,Adrian Oetzbach,1
5260,Franco Ribero,0
5266,Yanki Erel,2
5278,Lorenzo Lingua Lavallen Alejo,1
5280,David Ionel Nicholas,1
5364,Irina Bara,1
5416,Clara Burel,3
5505,Adrian Andreev,5
5510,Oleksandr Ovcharenko,0
5590,Matheus Pucinelli De Almeida,5
5612,Iliyan Radulov,0
5629,Anastasia Tikhonova,1
5630,Gergana Topalova,0
5663,Michiel De Krom,0
5666,Claire Liu,0
5671,Elvina Kalieva,0
5672,Carlos Lopez Montagud,3
5723,Zhibek Kulambayeva,0
5728,Ipek Oz,1
5729,Jesika Maleckova,0
5738,Jamie Loeb,0
