,Dog,Dog_Wins_Last_30_Days
432,Alex Rybakov,0
436,Niki Kaliyanda Poonacha,0
542,Joao Sousa,1
613,Aldin Setkic,0
797,Marius Copil,0
890,Victor Lilov,0
1057,Goncalo Oliveira,1
1076,Sachia Vickery,1
1103,Edoardo Lavagno,0
1127,Stefan Kozlov,3
1157,Tennys Sandgren,0
1174,Taylor Townsend,0
1337,Petr Nouza,0
1573,Oceane Dodin,1
1581,Brenda Fruhvirtova,0
1589,Lesia Tsurenko,0
1623,Shelby Rogers,0
1899,Cori Gauff,6
1935,Ankita Raina,0
1953,Juncheng Shang,3
1958,Antoine Bellier,0
1974,Aryna Sabalenka,9
1977,Marcelo Zormann,0
1998,Natalija Stevanovic,0
2009,Mate Valkusz,0
2017,Valentini Grammatikopoulou,0
2058,Marc Polmans,1
2075,Andy Murray,0
2085,Sho Shimabukuro,0
2098,Lucas Pouille,4
2155,Zhuoxuan Bai,0
2166,Patrick Kypson,0
2219,Timea Babos,0
2250,Denis Kudla,2
2282,Jeffrey John Wolf,3
2308,Arthur Cazaux,0
2322,Sloane Stephens,6
2335,Lin Zhu,0
2391,Naomi Osaka,0
2455,Thanasi Kokkinakis,2
2483,Elina Avanesyan,3
2515,Rafael Tosetto,0
2518,Reka Luca Jani,0
2607,Lucija Ciric Bagaric,0
2617,Jannik Sinner,3
2624,Trey Hilderbrand,0
2654,Damien Wenger,0
2685,Illya Marchenko,0
2772,Polona Hercog,0
2830,Emilio Gomez,0
2901,Jules Marie,1
2922,Ulises Blanch,2
2980,Federico Gaio,0
2997,Hazem Naw,0
3012,Evan Furness,0
3080,Timo Stodder,1
3082,Constantin Bittoun Kouzmine,0
3167,Bogdan Bobrov,0
3224,Anna Siskova,0
3248,Xiaodi You,0
3252,Tibo Colson,0
3303,Fanny Stollar,0
3396,Zhizhen Zhang,1
3412,Sofya Lansere,0
3438,Conny Perrin,1
3448,Sung Nam Ji,0
3464,Rubin Statham,0
3471,Karolina Muchova,2
