,Dog,Dog_Wins_Last_30_Days_After
6,Hubert Hurkacz,0
7,Sebastian Korda,0
27,Viktorija Golubic,1
32,Matteo Berrettini,0
41,Jule Niemeier,0
43,Frances Tiafoe,0
45,Robin Montgomery,0
50,Paula Badosa,0
59,Alejandro Tabilo,0
60,Ugo Humbert,2
61,Arthur Fils,0
68,Holger Rune,1
75,Tommy Paul,0
80,Lorenzo Musetti,0
83,Novak Djokovic,0
85,Radu Albot,0
90,Maxime Cressy,0
104,Otto Virtanen,2
106,Marc Andrea Huesler,0
107,Coleman Wong,0
108,Coleman Wong,0
110,Tereza Martincova,0
115,Charles Broom,0
119,Giles Hussey,0
123,Jessika Ponchet,0
127,Roman Safiullin,0
130,Mikhail Kukushkin,0
134,Lucrezia Stefanini,0
153,Murphy Cassone,0
159,Greet Minnen,1
160,Valentina Ryser,0
169,Marton Fucsovics,2
171,Amarni Banks,0
173,Diana Shnaider,1
174,Rebecca Marino,0
176,Erika Andreeva,0
180,Mark Lajal,0
182,Ben Shelton,1
184,Leandro Riedi,0
189,Zizou Bergs,0
205,Tristan Schoolkate,1
207,Zizou Bergs,0
208,Taylor Fritz,7
223,Denis Shapovalov,0
240,Yannick Hanfmann,0
242,Terence Atmane,0
250,Bianca Andreescu,0
257,Quentin Halys,0
258,Stefanos Tsitsipas,0
259,Emilio Nava,0
260,Alexei Popyrin,0
261,Tomas Barrios Vera,0
267,Rebeka Masarova,0
269,Liudmila Samsonova,4
278,Brandon Nakashima,1
281,Ons Jabeur,0
286,Marketa Vondrousova,2
291,Elena Rybakina,1
297,Amanda Anisimova,2
299,Magda Linette,0
300,Alexia Todoni Anca,0
303,Xin Yu Wang,0
309,Daniil Medvedev,0
312,Hugo Grenier,0
313,Elina Svitolina,1
314,Magdalena Frech,0
316,Jan Choinski,0
317,Tatiana Maria,0
318,Harold Mayot,0
320,Jiri Lehecka,0
321,Alexander Bublik,0
329,Daniel Elahi Galan,0
332,Leylah Fernandez,0
336,Harriet Dart,0
338,George Loffhagen,0
341,Pierre Hugues Herbert,0
342,Lorenzo Sonego,1
350,Arianne Hartono,0
352,Victoria Azarenka,0
353,Benjamin Hassan,0
357,Sho Shimabukuro,0
361,Eliot Spizzirri,0
362,Ryan Peniston,0
363,Zachary Svajda,0
365,Ethan Quinn,0
366,Martin Landaluce,0
367,Ekaterina Alexandrova,1
368,Francesca Jones,0
370,Beatriz Haddad Maia,0
371,Joao Fonseca,1
372,Arina Rodionova,0
