,Dog,Dog_Wins_Last_30_Days
120,Milos Raonic,0
175,Coleman Wong Chak Lam,0
352,Alessandro Giannessi,0
532,Salvatore Caruso,3
544,Salvatore Caruso,3
548,Tereza Martincova,1
579,Oscar Otte,0
597,Anastasija Sevastova,0
638,Federico Gaio,0
648,Steve Johnson,0
716,Liv Hovde,0
759,Caroline Wozniacki,1
895,Nicola Kuhn,0
984,Alize Cornet,0
1049,Angelique Kerber,0
1055,Lin Zhu,0
1103,Storm Hunter,2
1132,Camila Giorgi,1
1151,Andy Murray,3
1204,Hoang Ly Nam,0
1321,Yunseong Chung,2
1329,Goncalo Oliveira,0
1431,Akira Santillan,0
1448,Hanwen Li,0
1472,Ray Ho,0
1500,Arthur Fery,3
1512,Yshai Oliel,0
1513,Altug Celikbilek,1
1603,Thai Son Kwiatkowski,0
1612,James Tracy,0
1654,Blaise Bicknell,0
1678,Luca Castelnuovo,0
1725,John Echeverria,1
1954,Katherine Sebov,0
2094,Shelby Rogers,0
2128,Floyd Angele Jaimee,0
2140,Kacper Zuk,0
2226,Max Purcell,2
2252,Karolina Pliskova,1
2275,Skander Mansouri,0
2289,Aryna Sabalenka,5
2323,Elvina Kalieva,0
2384,Oliver Crawford,0
2399,Viktoria Hruncakova,1
2434,Facundo Bagnis,0
2443,Joris De Loore,1
2463,Irina Bara,0
2545,Omni Kumar,2
2559,Makoto Ochi,0
2565,Sebastian Ofner,0
2581,Albert Ramos Vinolas,0
2585,Mikalai Haliak,0
2594,Alberto Barroso Campos,0
2608,Diego Schwartzman,0
2700,Kayla Day,0
2774,Amandine Hesse,0
2775,Valeria Savinykh,0
2777,Camilla Rosatello,0
2779,Timea Babos,0
2826,Evgeny Donskoy,0
2862,Yuriko Miyazaki,0
2898,Quinn Vandecasteele,0
2991,Liam Broady,0
3069,Niki Kaliyanda Poonacha,0
3073,Antoine Hoang,0
3085,Natalija Stevanovic,0
3310,Hamish Stewart,0
3344,Maxime Cressy,2
3347,Nerman Fatic,0
3406,Chan Hong Seong,1
3451,Jannik Sinner,7
3452,Buvaysar Gadamauri,0
3455,Mathias Bourgue,0
3547,Denis Kudla,1
3633,Antoine Bellier,3
3641,Luke Saville,0
3737,Himeno Sakatsume,0
3738,Aleksandra Krunic,0
3746,Shuo Liang En,0
3774,David Pichler,0
3787,Aoran Wang,0
3797,Hanyi Liu,0
3812,Enzo Wallart,0
3817,Collin Altamirano,0
3824,Vladyslav Orlov,0
3848,Adrian Boitan Gabi,0
3862,Oleksii Krutykh,0
3907,Arnaud Bailly Gilles,0
3910,Tim Handel,0
3927,Leo Borg,0
3930,Gabriel Debru,0
3933,Hazem Naw,1
3936,Vasek Pospisil,0
3959,Laurent Lokoli,1
3964,Ana Bogdan,2
3985,Louis Wessels,0
4031,Maxime Chazal,0
4039,Carlos Alcaraz,9
4087,Yexin Ma,2
4090,Jerome Kym,2
4176,Kyle Edmund,2
4187,Dominic Thiem,0
4232,Bianca Andreescu,0
4260,Ozan Baris,3
4271,Rubin Statham,0
4290,Victoria Hu,0
4329,Eudice Chong,0
4336,Juncheng Shang,2
4337,Zura Tkemaladze,0
4372,Bruno Kuzuhara,0
4380,Elizabeth Mandlik,2
4389,Xiaodi You,1
4397,Jeong Jang Su,0
4399,Xinyu Gao,0
4402,Jia Jing Lu,0
4443,Nicolas Moreno De Alboran,4
4457,Elena Pridankina,0
4463,Jessika Ponchet,2
4486,Blake Mott,0
4507,Martina Trevisan,0
4550,Alina Korneeva,1
4551,Alina Korneeva,1
4616,Kalin Ivanovski,0
4622,Santiago Rodriguez Taverna,0
4632,Marton Fucsovics,3
4667,Alex Kodat Toby,2
4681,Robin Anderson,0
4701,Katrina Scott,0
4705,Gabriela Knutson,0
4740,Barbora Krejcikova,2
4755,Andrea Picchione,0
