,Fav,Fav_Loss_Count
115,Mohamed Safwat,0
194,Yanaki Milev,1
298,Louis Wessels,0
307,Federico Gaio,0
425,Yibing Wu,0
435,Alafia Ayeni,0
504,Daniel Cukierman,0
536,Lesia Tsurenko,1
660,Dan Added,0
784,Oceane Dodin,1
1061,Blaise Bicknell,2
1072,Bogdan Bobrov,1
1099,Sara Errani,0
1112,Denis Kudla,1
1349,Nicolas Zanellato,0
1352,Goncalo Oliveira,2
1445,Evan Furness,1
1446,Laurent Lokoli,1
1708,Lucas Pouille,2
1763,Kyle Edmund,3
1822,Cori Gauff,2
1847,Sho Shimabukuro,0
1972,Gijs Brouwer,2
1993,Kayla Day,1
2020,Dominik Koepfer,2
2023,Emil Ruusuvuori,2
2038,Claire Liu,2
2067,Celine Naef,2
2078,Juncheng Shang,3
2082,Ergi Kirkin,1
2085,Lloyd Harris,0
2093,Sloane Stephens,2
2127,Dominic Thiem,5
2186,Diego Schwartzman,4
2219,Jeffrey John Wolf,1
2344,Sorana Cirstea,2
2411,Thanasi Kokkinakis,1
2481,Felix Gill,4
2488,Tim Handel,1
2498,Felix Gill,4
2501,Valeriya Strakhova,0
2503,Brenda Fruhvirtova,2
2570,Yoshihito Nishioka,1
2668,Guido Andreozzi,1
2786,Alexander Weis,3
2790,Matthew Dellavedova,0
2798,Alessandro Giannessi,2
2833,Ulises Blanch,2
2838,Jules Marie,0
2874,Mathias Bourgue,2
2884,Alibek Kachmazov,0
2895,Ricardas Berankis,0
2906,Riccardo Bonadio,1
2909,Gerald Melzer,3
2999,Francesco Forti,1
3002,Evgeny Karlovskiy,0
3060,Hazem Naw,2
3063,Timo Stodder,1
3082,Kateryna Baindl,1
3119,Taro Daniel,2
3290,Zhizhen Zhang,0
3331,Alexey Zakharov,0
3397,Tereza Martincova,1
3401,Cristina Dinu,1
3446,Nadia Podoroska,3
3455,Anna Karolina Schmiedlova,4
3490,Martina Trevisan,6
3492,Anton Matusevich,1
3493,Damien Wenger,0
3494,Filip Krajinovic,1
3498,Damien Wenger,1
3597,Ugo Blanchet,4
3618,Richard Gasquet,5
3638,Caroline Garcia,3
3694,Angelique Kerber,0
3706,Rafael Nadal,2
3707,Henri Laaksonen,1
3739,Jiri Vesely,3
3798,Benoit Paire,1
3835,Manuel Guinard,5
3855,Marcello Serafini,1
3857,Anastasiya Soboleva,0
3860,Federico Iannaccone,2
3888,Alessandro Pecci,0
3963,Maximilian Marterer,1
3971,Ryan Seggerman,0
4023,Carlos Lopez Montagud,1
4047,Gianmarco Ferrari,2
4063,Mate Valkusz,2
4064,Frederico Ferreira Silva,3
4085,Andrea Picchione,1
4087,Johan Nikles,1
4096,Blaz Rola,0
4099,Petr Nesterov,0
4130,Marvin Moeller,2
4138,Kathinka Von Deichmann,1
4171,Daniel Masur,3
4212,Giovanni Oradini,1
4221,Lucija Ciric Bagaric,2
4222,Katarina Zavatska,4
4225,Sebastian Fanselow,1
4239,Benjamin Lock,1
4271,Jakub Nicod,1
4273,Marie Benoit,1
4287,Kirill Kivattsev,1
4318,Nino Serdarusic,3
4442,Duarte Vale,1
4450,Eric Vanshelboim,0
4453,Eric Vanshelboim,0
4470,Adrian Andreev,7
4474,Tomas Farjat,0
4541,Edoardo Lavagno,3
4654,Karue Sell,1
4711,Selena Janicijevic,1
4803,Gastao Elias,8
4827,Michiel De Krom,1
4850,Louisa Chirico,2
4852,Robin Montgomery,2
4854,Laura Pigossi,2
4877,Miguel Damas,1
4892,Angela Fita Boluda,0
4917,Alevtina Ibragimova,0
4923,Miriam Bulgaru,2
4926,Despina Papamichail,0
4935,Nicole Fossa Huergo,0
4942,Mariano Kestelboim,0
4947,Mariano Kestelboim,0
4979,Lorenzo Lingua Lavallen Alejo,5
5038,Gabriel Debru,6
5173,Adrian Oetzbach,0
5178,Orlando Luz,4
5221,Gustavo Heide,13
5250,Alexander Donski,1
5265,David Ionel Nicholas,1
5349,Ipek Oz,2
5376,Mirza Basic,1
5463,Clara Burel,2
5484,Wilson Leite,0
5557,Maja Chwalinska,2
5628,Elizabeth Mandlik,3
5629,Jazmin Ortenzi,1
5654,Gianluca Cadenasso,1
5656,Gabriele Pennaforti,1
5658,Samuel Vincent Ruggeri,9
5668,Lea Boskovic,0
5671,Iryna Shymanovich,1
5686,Caty Mcnally,0
5717,Ignacio Monzon,0
5719,Jelle Sels,1
5720,Irene Burillo Escorihuela,1
5727,Sara Sorribes Tormo,6
5738,Lauren Davis,0
5740,Irina Bara,2
5764,Rinky Hijikata,1
5767,Andrea Vavassori,5
5792,Elena Pridankina,0
5800,Elena Pridankina,1
5828,Enzo Couacaud,6
5859,Tatiana Maria,1
5860,Guiomar Maristany Zuleta De Reales,1
5863,Alize Cornet,0
5896,Roberto Carballes Baena,7
5963,Elmar Ejupovic,0
5999,Alex Rybakov,3
6038,Maxime Janvier,2
6044,Adrian Mannarino,1
6116,Abedallah Shelbayh,3
6118,Denis Yevseyev,2
6126,Nao Hibino,1
6140,Corentin Denolly,0
6144,David Goffin,3
6154,Nuria Brancaccio,2
6156,Inaki Montes De La Torre,1
6182,Vladyslav Orlov,2
6184,Jessika Ponchet,1
6185,Anhelina Kalinina,3
6195,Maximilian Neuchrist,0
6204,Felix Corwin,1
6221,Alycia Parks,1
6335,Steven Diez,1
6352,Pablo Llamas Ruiz,8
6376,Michael Mmoh,2
6385,Nick Hardt,7
6388,Andre Saraiva Dos Santos Paulo,1
6390,Marc Polmans,1
6391,Garrett Johns,0
6395,Alexander Ritschard,5
6411,Cristina Bucsa,4
6413,Rebecca Sramkova,3
6423,Roman Safiullin,2
6425,Stefan Kozlov,0
6434,Oliver Crawford,3
6463,Dayana Yastremska,1
6468,Bernard Tomic,3
6469,Andres Andrade,4
6492,Zizou Bergs,4
6540,Dennis Novak,4
6556,Noma Noha Akugue,0
6570,Sascha Gueymard Wayenburg,1
6577,Valerio Aboian,5
6585,Liam Draxl,7
6644,Lucrezia Stefanini,0
6650,Daria Saville,3
6658,Greet Minnen,2
6659,Eduardo Ribeiro,0
6661,Mattia Bellucci,1
6662,Arthur Rinderknech,2
6682,Elisabetta Cocciaretto,6
6696,Aliona Bolsova,0
6706,Kamilla Rakhimova,4
6715,Jaime Faria,7
6746,Viktorija Golubic,0
6760,Marcos Giron,2
6824,Daniel Evans,0
6835,Kamil Majchrzak,7
6837,Alex Michelsen,1
6845,Erika Andreeva,5
6847,Laura Siegemund,5
6849,Olivia Gadecki,0
6866,Leolia Jeanjean,0
6874,Lulu Sun,1
6879,Jose Pereira,2
6883,Eduardo Schiessl Joao,2
6888,Maxime Chazal,0
6899,Alexey Vatutin,1
6916,Conner Huertas Del Pino,1
6928,Juan Pablo Varillas,21
6941,Jordan Thompson,2
6965,Anastasia Pavlyuchenkova,5
6974,Lorenzo Sonego,10
6982,Nicolas Jarry,11
6991,Aslan Karatsev,1
7004,Mark Lajal,0
7005,Gabriel Diallo,1
7006,Pedro Martinez,7
7012,Laslo Djere,8
7020,Grigor Dimitrov,4
7025,Victoria Azarenka,3
7040,Tomas Machac,2
7056,Matteo Berrettini,1
7077,Oleksii Krutykh,4
7082,Joao Domingues,0
7084,Luca Castagnola,1
7102,Leandro Riedi,3
7118,Lorenzo Carboni,0
7127,Linda Fruhvirtova,3
7139,Marina Bassols Ribera,1
7149,Kimberly Birrell,1
7159,Sarah Rakotomanga Rajaonah Tiantsoa,1
7169,Zeynep Sonmez,5
7173,Camilla Rosatello,1
7191,Tristan McCormick,1
7193,Bernabe Zapata Miralles,10
7195,Gregoire Barrere,6
7196,Antonio Nunez Daniel,0
7198,Ryan Nijboer,3
7229,Emiliana Arango,5
7244,Aziz Dougaz,3
7252,Quentin Halys,6
7262,Fabio Fognini,5
7263,Federico Coria,19
7279,Xin Yu Wang,1
7284,Mateo Barreiros Reyes,1
7292,Roberto Cid,4
7308,Bu Yunchaokete,0
7313,Irina Camelia Begu,6
7316,Anastasia Zakharova,2
7327,Brandon Nakashima,6
7347,James Duckworth,1
7348,Pedro Sakamoto,3
7351,Aleksandar Vukic,5
7363,Camilo Ugo Carabelli,17
7366,Christopher Oconnell,3
7371,Rodrigues Alves Carolina Meligeni,1
7377,Varvara Gracheva,3
7379,Patrick Kypson,4
7385,Pierre Hugues Herbert,5
7387,Thiago Monteiro,22
7389,Remy Bertola,6
7392,Raphael Collignon,6
7397,Maria Timofeeva,3
7399,Linda Noskova,5
7403,Anna Blinkova,3
7408,Hans Rehberg Max,4
7409,Suzan Lamens,3
7416,Coleman Wong,1
7420,Alexandre Muller,8
7427,Kei Nishikori,0
7433,Michael Vrbensky,4
7438,Roberto Bautista Agut,1
7441,Beibit Zhukayev,3
7446,Marina Stakusic,0
7449,Eva Lys,3
7452,Leylah Fernandez,5
7456,Ajla Tomljanovic,2
7457,Nishesh Basavareddy,2
7462,Dalma Galfi,4
7463,Francesca Jones,1
7469,Magda Linette,0
7471,Magdalena Frech,2
7473,Arantxa Rus,3
7479,Lucia Bronzetti,4
7480,Jule Niemeier,5
7491,Jan Lennard Struff,3
7497,Borna Coric,7
7504,Billy Harris,2
7511,Matteo Arnaldi,9
7513,Pavel Kotov,8
7516,Mitchell Krueger,5
7519,Alexander Blockx,1
7522,Alexis Galarneau,4
7523,Eliot Spizzirri,1
7527,Franco Agamenone,6
7539,Franco Agamenone,6
7540,Michael Geerts,4
7556,Dmitry Popko,12
7557,Hady Habib,4
7558,Mikhail Kukushkin,2
7565,Marc Andrea Huesler,7
7566,Pedro Cachin,8
7570,Katerina Siniakova,5
7574,Antonia Ruzic,2
7576,Katarzyna Kawa,0
7579,Panna Udvardy,8
7580,Bianca Andreescu,3
7581,Jana Fett,4
7582,Fiona Ferro,6
7595,Simona Waltert,4
7596,Yulia Starodubtseva,5
7601,Rebeka Masarova,7
7602,Nina Stojanovic,2
7603,Anna Lena Friedsam,0
7609,Otto Virtanen,3
7611,Patricia Maria Tig,2
7622,Nicolas Moreno De Alboran,11
7623,Martin Landaluce,5
7626,Aliaksandra Sasnovich,6
7627,Ethan Quinn,2
7632,Luciano Darderi,11
7644,Solana Sierra,0
7648,Carole Monnet,1
7649,Julia Riera,6
7662,Marin Cilic,5
7665,Benjamin Hassan,8
7670,Hubert Hurkacz,2
7677,Jay Clarke,1
7679,Tomas Martin Etcheverry,9
7682,Yannick Hanfmann,9
7686,Alexandra Eala,1
7687,Peyton Stearns,6
