,Fav,Fav_Loss_Count
73,Nerman Fatic,0
80,Marius Copil,1
114,Yshai Oliel,1
189,Hamish Stewart,1
276,David Jorda Sanchis,0
366,Oriol Roca Batalla,1
384,Iryna Shymanovich,0
490,Mathias Bourgue,1
507,Tereza Martincova,0
513,Jonas Forejtek,0
524,Oscar Otte,1
539,Oscar Otte,2
633,Yanina Wickmayer,2
635,Diego Schwartzman,1
679,Sumit Nagal,3
692,Alex Molcan,1
734,Milos Raonic,0
845,Kenny De Schepper,1
890,Alize Cornet,2
987,Kayla Day,2
1023,Storm Hunter,2
1074,Sebastian Ofner,1
1126,Andy Murray,0
1175,Cori Gauff,4
1213,Alafia Ayeni,0
1215,Rubin Statham,1
1287,Skander Mansouri,0
1305,Dominik Palan,0
1318,Lucas Reis Da Silva Joao,1
1347,Akira Santillan,0
1428,Zhe Li,1
1512,Altug Celikbilek,2
1518,Ulises Blanch,1
1611,Blaise Bicknell,0
1652,Nick Chappell,2
1712,John Echeverria,0
1715,Antoine Bellier,0
1816,Kiranpal Pannu,1
1853,Joris De Loore,0
1943,Max Purcell,4
2141,Alberto Barroso Campos,0
2185,Karolina Pliskova,3
2272,Yunseong Chung,2
2284,Shelby Rogers,1
2289,Thai Son Kwiatkowski,3
2298,Amandine Hesse,1
2309,Dalma Galfi,2
2348,Filip Krajinovic,1
2380,Leandro Riedi,3
2411,Aidan  Mchugh,1
2449,Stefano Napolitano,2
2535,Marina Bassols Ribera,0
2549,Sung Nam Ji,1
2556,Evgeny Donskoy,3
2562,Daniel Vallejo Adolfo,1
2572,Vadym Ursu,2
2663,Benjamin Lock,0
2665,Dan Added,1
2702,Caroline Wozniacki,2
2891,Matthew Dellavedova,1
2899,Tatiana Prozorova,1
2900,Cannon Kingsley,1
2913,Sloane Stephens,4
3079,Adrian Boitan Gabi,0
3084,Jeong Jang Su,0
3090,Arina Rodionova,2
3307,Tristan Lamasine,2
3308,Arthur Reymond,0
3309,David Pichler,1
3334,Chan Hong Seong,6
3351,Bruno Kuzuhara,2
3357,Collin Altamirano,1
3367,Nadia Podoroska,1
3383,Jules Marie,1
3390,Yexin Ma,1
3521,Yafan Wang,4
3582,Luke Saville,1
3635,Illya Marchenko,2
3647,Kyle Kang,1
3663,Gabriel Debru,1
3724,Fabio Fognini,1
3748,Tamara Korpatsch,0
3776,Steven Diez,0
3793,Sara Errani,1
3809,John Fancutt Thomas,0
3822,Quinn Vandecasteele,4
3843,Alex Martinez,0
3883,Xiaodi You,2
3903,Vasek Pospisil,2
3927,Nicolas Jarry,3
3938,Rigele Te,3
3947,Mariano Navone,1
3962,Barbora Krejcikova,2
4062,Martina Trevisan,2
4069,Jacob Bradshaw,1
4081,Sanhui Shin,0
4106,Ryuki Matsuda,0
4113,Edward Winter,1
4146,Diane Parry,3
4151,Sara Saito,2
4188,Luciano Darderi,2
4313,Keegan Smith,4
4328,Astra Sharma,1
4329,Priscilla Hon,2
4339,Omni Kumar,2
4353,Denis Kudla,3
4373,Marc Polmans,1
4382,Blake Mott,0
4402,Shuai Zhang,2
4440,Kyle Edmund,3
4484,Yuki Mochizuki,1
4565,Andrea Picchione,1
4597,Marin Cilic,1
4623,Ozan Baris,2
4647,Elizabeth Mandlik,3
4698,Maximilian Marterer,5
4708,Lesia Tsurenko,2
4728,Anastasia Tikhonova,1
4778,Guy Den Ouden,2
4813,Nicolas Moreno De Alboran,4
4819,Tyler Zink,1
4827,Bor Artnak,0
4882,Kalin Ivanovski,0
4890,Kris Van Wyk,2
4897,Philip Sekulic,4
4918,Stefano Travaglia,1
4921,Ryan Seggerman,5
4969,Gustavo Heide,1
4985,Takuya Kumasaka,2
5005,Matias Soto,3
5009,Tomas Barrios Vera,0
5018,Rodrigo Pacheco Mendez,1
5019,Ernesto Escobedo,3
5024,Alex Kodat Toby,2
5035,Gonzalo Oliveira,1
5042,Dominika Salkova,0
5046,Oceane Dodin,0
5048,Clara Burel,5
5096,Emina Bektas,2
5104,Sachia Vickery,3
5112,Hikaru Shiraishi,0
5133,Juan Manuel Cerundolo,1
5149,Lucrezia Stefanini,0
5194,Marco Trungelliti,2
