,Fav,Fav_Wins_Last_30_Days
115,Mohamed Safwat,1
195,Yanaki Milev,0
297,Louis Wessels,0
310,Federico Gaio,0
433,Yibing Wu,0
436,Alafia Ayeni,0
501,Daniel Cukierman,1
536,Lesia Tsurenko,0
660,Dan Added,0
786,Oceane Dodin,0
1055,Blaise Bicknell,0
1066,Bogdan Bobrov,0
1099,Sara Errani,3
1110,Denis Kudla,0
1343,Goncalo Oliveira,1
1346,Nicolas Zanellato,0
1437,Laurent Lokoli,0
1443,Evan Furness,0
1727,Lucas Pouille,4
1762,Kyle Edmund,0
1833,Cori Gauff,6
1847,Sho Shimabukuro,0
1958,Gijs Brouwer,2
1995,Kayla Day,0
2013,Claire Liu,0
2020,Emil Ruusuvuori,1
2028,Dominik Koepfer,2
2040,Sloane Stephens,6
2045,Celine Naef,1
2071,Ergi Kirkin,7
2076,Juncheng Shang,3
2088,Lloyd Harris,0
2100,Dominic Thiem,1
2166,Jeffrey John Wolf,3
2213,Diego Schwartzman,2
2338,Sorana Cirstea,1
2411,Thanasi Kokkinakis,2
2481,Felix Gill,4
2497,Felix Gill,4
2499,Tim Handel,0
2501,Brenda Fruhvirtova,2
2518,Valeriya Strakhova,0
2551,Yoshihito Nishioka,2
2669,Guido Andreozzi,0
2786,Alexander Weis,0
2789,Matthew Dellavedova,0
2802,Alessandro Giannessi,1
2843,Jules Marie,0
2847,Ulises Blanch,2
2870,Mathias Bourgue,2
2891,Alibek Kachmazov,1
2906,Gerald Melzer,5
2907,Riccardo Bonadio,5
2995,Evgeny Karlovskiy,1
3001,Francesco Forti,0
3054,Timo Stodder,1
3057,Hazem Naw,0
3075,Kateryna Baindl,0
3110,Taro Daniel,3
3287,Zhizhen Zhang,0
3332,Alexey Zakharov,4
3412,Cristina Dinu,0
3421,Tereza Martincova,0
3451,Nadia Podoroska,1
3455,Martina Trevisan,4
3468,Anna Karolina Schmiedlova,2
3503,Anton Matusevich,0
3528,Damien Wenger,1
3537,Damien Wenger,1
3539,Filip Krajinovic,1
3612,Richard Gasquet,0
3649,Caroline Garcia,3
3674,Angelique Kerber,1
3683,Henri Laaksonen,0
3689,Rafael Nadal,4
3740,Jiri Vesely,0
3786,Benoit Paire,0
3835,Manuel Guinard,3
3848,Marcello Serafini,0
3849,Federico Iannaccone,0
3857,Anastasiya Soboleva,1
3893,Alessandro Pecci,1
3964,Maximilian Marterer,4
3980,Ryan Seggerman,0
4023,Carlos Lopez Montagud,2
4050,Gianmarco Ferrari,0
4066,Mate Valkusz,0
4078,Blaz Rola,0
4085,Andrea Picchione,0
4089,Johan Nikles,0
4090,Petr Nesterov,0
4127,Marvin Moeller,0
4215,Giovanni Oradini,1
4221,Benjamin Lock,0
4227,Sebastian Fanselow,2
4230,Lucija Ciric Bagaric,0
4240,Katarina Zavatska,2
4265,Jakub Nicod,5
4267,Marie Benoit,0
4291,Kirill Kivattsev,0
4318,Nino Serdarusic,0
4441,Duarte Vale,0
4451,Eric Vanshelboim,0
4452,Eric Vanshelboim,0
4469,Adrian Andreev,4
4473,Tomas Farjat,1
4535,Edoardo Lavagno,0
4659,Karue Sell,4
4708,Selena Janicijevic,0
4801,Gastao Elias,3
4829,Michiel De Krom,0
4855,Robin Montgomery,0
4858,Laura Pigossi,1
4872,Miguel Damas,0
4919,Alevtina Ibragimova,0
4927,Despina Papamichail,0
4982,Lorenzo Lingua Lavallen Alejo,3
5037,Gabriel Debru,2
5182,Adrian Oetzbach,0
5225,Gustavo Heide,5
5252,Alexander Donski,0
5266,David Ionel Nicholas,0
5349,Ipek Oz,0
5367,Mirza Basic,0
5459,Clara Burel,2
5482,Wilson Leite,1
5582,Maja Chwalinska,1
5631,Jazmin Ortenzi,0
5636,Elizabeth Mandlik,0
5648,Lea Boskovic,0
5656,Samuel Vincent Ruggeri,2
5660,Gabriele Pennaforti,1
5661,Iryna Shymanovich,0
5662,Gianluca Cadenasso,0
5692,Caty Mcnally,1
5703,Ignacio Monzon,0
5705,Jelle Sels,1
5720,Irina Bara,1
5721,Sara Sorribes Tormo,6
5723,Irene Burillo Escorihuela,0
5736,Andrea Vavassori,0
5742,Lauren Davis,0
5750,Rinky Hijikata,0
5785,Elena Pridankina,1
5793,Elena Pridankina,1
5825,Enzo Couacaud,1
5857,Alize Cornet,1
5858,Tatiana Maria,1
5860,Guiomar Maristany Zuleta De Reales,0
5941,Elmar Ejupovic,0
5986,Alex Rybakov,0
6018,Adrian Mannarino,1
6027,Maxime Janvier,0
6115,Nao Hibino,0
6129,Abedallah Shelbayh,0
6143,Corentin Denolly,1
6151,David Goffin,1
6152,Nuria Brancaccio,3
6178,Inaki Montes De La Torre,2
6180,Jessika Ponchet,0
6187,Anhelina Kalinina,0
6188,Vladyslav Orlov,0
6217,Alycia Parks,0
6223,Felix Corwin,0
6342,Steven Diez,0
6355,Michael Mmoh,0
6364,Alexander Ritschard,7
6379,Nick Hardt,0
6399,Andre Saraiva Dos Santos Paulo,1
6401,Marc Polmans,1
6402,Garrett Johns,1
6411,Roman Safiullin,1
6412,Stefan Kozlov,0
6416,Oliver Crawford,0
6434,Rebecca Sramkova,1
6436,Cristina Bucsa,0
6470,Zizou Bergs,1
6480,Dayana Yastremska,1
6483,Andres Andrade,4
6486,Bernard Tomic,1
6542,Dennis Novak,0
6550,Noma Noha Akugue,0
6564,Liam Draxl,5
6578,Sascha Gueymard Wayenburg,0
6591,Valerio Aboian,1
6610,Lucrezia Stefanini,1
6611,Greet Minnen,0
6627,Daria Saville,3
6661,Aliona Bolsova,4
6663,Kamilla Rakhimova,0
6691,Mattia Bellucci,2
6702,Eduardo Ribeiro,2
6704,Arthur Rinderknech,3
6711,Viktorija Golubic,1
6741,Jaime Faria,3
6756,Marcos Giron,0
6817,Alex Michelsen,3
6818,Daniel Evans,0
6844,Laura Siegemund,0
6850,Olivia Gadecki,0
6852,Kamil Majchrzak,8
6855,Erika Andreeva,0
6857,Maxime Chazal,2
6869,Alexey Vatutin,4
