,Fav,Fav_Wins_Last_30_Days_After
0,Matteo Berrettini,0
17,David Goffin,0
20,Max Purcell,0
22,Lloyd Harris,0
24,Karolina Pliskova,0
26,Sebastian Korda,0
27,Jule Niemeier,0
33,Yulia Starodubtseva,1
42,Alejandro Tabilo,0
64,Lorenzo Musetti,1
82,Charles Broom,0
85,Maxime Cressy,0
98,Terence Atmane,0
106,Otto Virtanen,0
108,Otto Virtanen,0
109,Robin Montgomery,0
114,Marc Andrea Huesler,0
119,Paul Jubb,0
121,Zeynep Sonmez,0
122,Coleman Wong,0
123,Rebecca Marino,2
127,Giovanni Mpetshi Perricard,0
140,Hubert Hurkacz,0
144,Christopher Eubanks,0
153,Leandro Riedi,0
161,Daria Snigur,0
168,Viktorija Golubic,0
170,Billy Harris,0
174,Celine Naef,0
175,Gabriela Ruse Elena,0
178,Bianca Andreescu,0
192,Ons Jabeur,1
194,Ons Jabeur,1
198,Ashlyn Krueger,0
202,Mackenzie Mcdonald,1
205,Zachary Svajda,0
209,Viktoriya Tomova,0
224,Gael Monfils,0
232,Eliot Spizzirri,0
234,Stefanos Tsitsipas,0
236,Pierre Hugues Herbert,0
253,Jack Pinnington Jones,0
254,Emilio Nava,0
255,Jan Lennard Struff,0
256,Cristina Bucsa,2
266,Katie Boulter,1
273,Denis Shapovalov,0
275,Colton Smith,0
287,Bernarda Pera,0
294,Adam Walton,0
296,Christopher Oconnell,0
302,Yulia Putintseva,0
305,James Duckworth,1
306,Heather Watson,0
307,Kimberly Birrell,1
311,Greet Minnen,0
316,Mark Lajal,0
326,Quentin Halys,0
328,Aleksandar Vukic,0
330,Maddison Inglis,0
335,Katerina Siniakova,1
338,Reilly Opelka,0
340,Daria Kasatkina,0
347,Rebecca Sramkova,0
349,Anna Blinkova,0
350,Talia Gibson,0
353,Tristan Schoolkate,0
356,Yannick Hanfmann,0
357,Li Tu,0
359,Marcos Giron,1
362,Martin Landaluce,0
366,Alex Bolt,0
369,Amarni Banks,0
372,Elsa Jacquemot,1
373,Jacob Fearnley,0
374,Jenson Brooksby,2
375,Gabriel Diallo,0
377,Tomas Barrios Vera,0
384,Roberto Bautista Agut,0
385,Shintaro Mochizuki,0
386,Linda Fruhvirtova,0
388,Petra Martic,0
392,Maya Joint,0
394,Iga Swiatek,0
404,Aliaksandra Sasnovich,0
405,Jelena Ostapenko,0
406,Roman Safiullin,0
408,Diane Parry,1
411,Adrian Mannarino,0
412,Alexei Popyrin,0
414,Zizou Bergs,0
415,Holger Rune,0
416,Mattia Bellucci,1
417,Daniil Medvedev,0
419,Alexia Todoni Anca,0
421,Paula Badosa,0
422,Ethan Quinn,0
424,Arthur Cazaux,0
425,Jesper De Jong,0
426,Cristian Garin,0
428,Tallon Griekspoor,0
433,Alex Michelsen,0
434,Alexandra Eala,0
437,Fabian Marozsan,0
438,Alexander Bublik,0
440,Iva Jovic,0
441,Marie Bouzkova,0
447,Qinwen Zheng,0
448,Tatiana Maria,0
449,Emma Raducanu,1
450,Elise Mertens,1
451,Harriet Dart,0
452,Jessica Pegula,0
458,Caroline Dolehide,0
459,Magda Linette,0
460,Veronika Kudermetova,0
462,Coco Gauff,0
465,Francesca Jones,0
467,Sofia Kenin,0
468,Alexander Zverev,0
469,Victoria Azarenka,0
470,Ugo Humbert,0
471,Maria Sakkari,0
473,Nicolas Jarry,1
474,Leylah Fernandez,0
476,Rinky Hijikata,0
477,Daniel Evans,0
479,Frances Tiafoe,0
480,Tomas Martin Etcheverry,0
482,Jasmine Paolini,0
483,Donna Vekic,0
484,Diana Shnaider,0
485,Jiri Lehecka,0
487,Flavio Cobolli,1
488,Elisabetta Cocciaretto,0
490,Anastasia Pavlyuchenkova,1
492,Beatriz Haddad Maia,0
493,Felix Auger Aliassime,0
496,Xin Yu Wang,0
498,Nuno Borges,0
499,Jaume Munar,0
500,Arthur Rinderknech,0
501,Alex De Minaur,0
503,Miomir Kecmanovic,0
504,Emma Navarro,0
506,Grigor Dimitrov,0
507,Marketa Vondrousova,0
508,Novak Djokovic,0
509,Alejandro Davidovich Fokina,0
510,Benjamin Bonzi,0
511,Linda Noskova,0
512,Brandon Nakashima,0
513,Jack Draper,0
514,Ekaterina Alexandrova,0
515,Barbora Krejcikova,0
516,Clara Tauson,1
517,Sonay Kartal,0
518,Naomi Osaka,0
519,Madison Keys,0
521,Taylor Fritz,0
522,Arthur Fery,0
523,Ben Shelton,0
524,Andrey Rublev,0
525,Marton Fucsovics,0
527,Lorenzo Sonego,0
528,Tommy Paul,0
529,Amanda Anisimova,0
531,Dayana Yastremska,0
532,Jannik Sinner,0
533,Elena Rybakina,0
534,Belinda Bencic,0
535,Aryna Sabalenka,0
536,Elina Svitolina,0
537,Carlos Alcaraz,0
538,Karen Khachanov,0
539,Jakub Mensik,0
540,Joao Fonseca,0
541,Mirra Andreeva,0
542,Cameron Norrie,0
543,Liudmila Samsonova,0
544,Jordan Thompson,0
