,Fav,Fav_Wins_Last_30_Days
75,Marius Copil,0
77,Nerman Fatic,0
113,Yshai Oliel,0
184,Hamish Stewart,0
274,David Jorda Sanchis,0
372,Oriol Roca Batalla,2
391,Iryna Shymanovich,0
493,Mathias Bourgue,0
511,Tereza Martincova,0
512,Jonas Forejtek,0
523,Oscar Otte,0
553,Oscar Otte,0
632,Yanina Wickmayer,0
649,Diego Schwartzman,0
676,Sumit Nagal,5
681,Alex Molcan,0
752,Milos Raonic,1
836,Kenny De Schepper,1
889,Alize Cornet,0
992,Kayla Day,0
1019,Storm Hunter,2
1077,Sebastian Ofner,0
1140,Andy Murray,3
1173,Cori Gauff,4
1214,Rubin Statham,0
1215,Alafia Ayeni,0
1286,Skander Mansouri,0
1306,Dominik Palan,2
1317,Lucas Reis Da Silva Joao,0
1347,Akira Santillan,0
1428,Zhe Li,0
1511,Altug Celikbilek,1
1514,Ulises Blanch,0
1611,Blaise Bicknell,0
1652,Nick Chappell,0
1711,John Echeverria,0
1714,Antoine Bellier,3
1814,Kiranpal Pannu,0
1851,Joris De Loore,0
1940,Max Purcell,1
2140,Alberto Barroso Campos,0
2189,Karolina Pliskova,1
2273,Yunseong Chung,2
2283,Shelby Rogers,0
2294,Thai Son Kwiatkowski,0
2307,Amandine Hesse,0
2310,Dalma Galfi,0
2349,Filip Krajinovic,0
2415,Aidan  Mchugh,0
2439,Stefano Napolitano,0
2533,Marina Bassols Ribera,1
2549,Sung Nam Ji,0
2551,Evgeny Donskoy,0
2561,Daniel Vallejo Adolfo,0
2571,Vadym Ursu,2
2654,Dan Added,0
2659,Benjamin Lock,0
2702,Caroline Wozniacki,0
2890,Matthew Dellavedova,0
2900,Tatiana Prozorova,0
2901,Cannon Kingsley,0
2917,Sloane Stephens,2
3079,Adrian Boitan Gabi,0
3083,Jeong Jang Su,0
3088,Arina Rodionova,0
3309,Tristan Lamasine,0
3314,David Pichler,0
3318,Arthur Reymond,0
3342,Chan Hong Seong,1
