,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Predicted_Winner,Profit
58,2024-06-16,2.29,Tereza Martincova,1.6,2.29,Varvara Gracheva,Varvara Gracheva,5,Tereza Martincova,9,0.6,0.5555555555555556,Womens,69.0,194.0,1520.3959269799736,1472.3467841334832,0.5,0.3,39.0,40.0,False,True,1,1,1,1,0,1,True,129.0
139,2024-06-23,2.16,Viktorija Golubic,1.66,2.16,Sofia Kenin,Viktorija Golubic,6,Viktorija Golubic,9,0.6666666666666666,0.5555555555555556,Womens,46.0,78.0,1662.055322236583,1656.9729279743904,0.7,0.5,4.0,35.0,False,True,1,1,1,1,0,1,True,116.00000000000001
157,2024-06-24,2.25,Alycia Parks,1.61,2.25,Bernarda Pera,Alycia Parks,7,Alycia Parks,8,0.5714285714285714,0.625,Womens,94.0,121.0,1670.8558677144952,1589.6945096088762,0.2,0.2,27.0,40.0,False,True,1,1,1,2,0,2,True,125.0
165,2024-06-25,1.72,Leylah Fernandez,1.72,2.09,Leylah Fernandez,Barbora Krejcikova,5,Barbora Krejcikova,8,0.6,0.75,Womens,30.0,31.0,1729.5659590673015,1570.5037048827576,0.8,0.6,13.0,2.0,True,False,0,0,0,0,0,1,True,-100.0
169,2024-06-25,2.67,Viktoriya Tomova,1.46,2.67,Linda Noskova,Viktoriya Tomova,5,Viktoriya Tomova,8,0.4,0.5,Womens,26.0,58.0,1540.771661339237,1510.6139783182098,0.5,0.5,26.0,58.0,False,True,1,1,1,2,0,1,True,167.0
180,2024-06-26,1.98,Katie Boulter,1.81,1.98,Jelena Ostapenko,Katie Boulter,10,Katie Boulter,11,0.8,0.7272727272727273,Womens,13.0,32.0,1787.55447449571,1751.3795154968018,0.7,0.6,5.0,27.0,False,True,1,1,1,1,0,4,True,98.0
186,2024-06-26,1.98,Harriet Dart,1.82,1.98,Sofia Kenin,Sofia Kenin,8,Harriet Dart,10,0.625,0.5,Womens,48.0,105.0,1641.517819447509,1610.9714161068775,0.6,0.5,4.0,84.0,False,True,1,2,1,2,0,1,True,98.0
194,2024-06-26,2.19,Donna Vekic,1.66,2.19,Ekaterina Alexandrova,Ekaterina Alexandrova,11,Donna Vekic,10,0.7272727272727273,0.7,Womens,22.0,49.0,1730.446556134932,1681.143072114984,0.7,0.7,15.0,19.0,False,True,1,1,1,1,0,1,True,119.0
212,2024-06-28,2.68,Leylah Fernandez,1.46,2.68,Madison Keys,Madison Keys,10,Leylah Fernandez,8,0.9,0.75,Womens,12.0,30.0,1842.2814942965952,1736.3788774549794,0.9,0.8,7.0,13.0,False,True,1,1,1,1,0,3,True,168.00000000000003
214,2024-06-28,2.77,Anna Blinkova,1.44,2.77,Beatriz Haddad Maia,Beatriz Haddad Maia,5,Anna Blinkova,8,0.8,0.5,Womens,20.0,66.0,1646.179403191242,1527.363063864179,0.8,0.2,10.0,34.0,False,True,1,1,1,2,0,1,True,177.0
