,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Predicted_Winner,Profit
11,2024-02-12,1.93,Andrea Vavassori,1.84,1.93,Thiago Monteiro,Thiago Monteiro,16,Andrea Vavassori,10,0.5625,0.6,Mens,118.0,152.0,1846.6388312697263,1629.10830436271,0.5,0.3,61.0,128.0,False,True,1,1,1,1,0,1,True,93.0
12,2024-02-12,2.06,Daniel Elahi Galan,1.74,2.06,Francisco Comesana,Francisco Comesana,10,Daniel Elahi Galan,17,0.6,0.4117647058823529,Mens,119.0,80.0,1758.2348133856067,1669.5212789152622,1.0,0.3,117.0,56.0,False,True,1,1,1,2,0,1,True,106.0
25,2024-02-14,1.92,Daniel Elahi Galan,1.88,1.92,Diego Schwartzman,Daniel Elahi Galan,6,Daniel Elahi Galan,18,0.3333333333333333,0.4444444444444444,Mens,116.0,80.0,1708.1037559528481,1437.844084947752,0.4,0.3,8.0,56.0,False,True,1,1,1,3,0,2,True,92.0
28,2024-02-15,2.29,Facundo Diaz Acosta,1.62,2.29,Francisco Cerundolo,Facundo Diaz Acosta,12,Facundo Diaz Acosta,11,0.8333333333333334,0.5454545454545454,Mens,22.0,87.0,1845.2800952525945,1693.5255931173085,0.6,0.2,19.0,87.0,False,True,1,1,1,2,0,1,True,129.0
29,2024-02-15,2.17,Dusan Lajovic,1.68,2.17,Alejandro Tabilo,Alejandro Tabilo,10,Dusan Lajovic,8,0.6,0.25,Mens,54.0,58.0,1755.7387554658335,1498.9001995013675,1.0,0.3,49.0,23.0,False,True,1,1,1,2,0,1,True,117.0
31,2024-02-16,1.58,Sebastian Baez,1.58,2.38,Sebastian Baez,Luciano Darderi,13,Luciano Darderi,11,0.7692307692307693,0.8181818181818182,Mens,30.0,76.0,1919.6141638398224,1802.9692239061956,0.6,0.8,25.0,76.0,True,False,0,1,0,1,1,2,True,-100.0
32,2024-02-16,2.23,Andrea Vavassori,1.65,2.23,Laslo Djere,Laslo Djere,10,Andrea Vavassori,10,0.7,0.6,Mens,35.0,152.0,1741.1013301233875,1736.9956872170583,0.6,0.5,27.0,128.0,False,True,1,1,1,2,0,3,True,123.0
36,2024-02-17,2.02,Facundo Diaz Acosta,1.8,2.02,Dusan Lajovic,Facundo Diaz Acosta,9,Facundo Diaz Acosta,12,0.3333333333333333,0.5833333333333334,Mens,58.0,87.0,1860.3230422182285,1567.8147515851051,0.4,0.3,23.0,87.0,False,True,1,1,1,3,1,2,True,102.0
40,2024-02-18,2.23,Felipe Meligeni Alves,1.63,2.23,Alex Molcan,Felipe Meligeni Alves,11,Felipe Meligeni Alves,14,0.45454545454545453,0.42857142857142855,Mens,122.0,151.0,1599.5379524005318,1532.7294518192193,0.2,0.2,38.0,129.0,False,True,1,2,1,2,0,1,True,123.0
50,2024-02-20,1.66,Francisco Cerundolo,1.66,2.22,Francisco Cerundolo,Francisco Comesana,10,Francisco Comesana,10,0.7,0.5,Mens,22.0,119.0,1748.9131025202453,1671.7406939390653,0.6,0.5,19.0,117.0,True,False,0,1,0,0,0,1,True,-100.0
59,2024-02-21,2.19,Facundo Diaz Acosta,1.67,2.19,Stan Wawrinka,Facundo Diaz Acosta,12,Facundo Diaz Acosta,11,0.5833333333333334,0.6363636363636364,Mens,67.0,59.0,1911.019586273531,1666.9804926143943,0.6,0.5,3.0,59.0,False,True,1,1,1,5,0,5,True,119.0
65,2024-02-23,1.72,Thiago Monteiro,1.72,2.13,Thiago Monteiro,Thiago Monteiro,17,Felipe Meligeni Alves,17,0.5294117647058824,0.5294117647058824,Mens,117.0,153.0,1805.3107430828115,1673.2864278263362,0.5,0.4,61.0,129.0,True,False,0,1,0,2,1,3,True,-100.0
66,2024-02-23,2.16,Mariano Navone,1.69,2.16,Yannick Hanfmann,Mariano Navone,10,Mariano Navone,12,0.5,0.5833333333333334,Mens,56.0,113.0,1876.6370538006818,1708.172878481492,0.6,0.7,45.0,113.0,False,True,1,2,1,1,0,4,True,116.00000000000001
67,2024-02-23,2.01,Joao Fonseca,1.8,2.01,Cristian Garin,Cristian Garin,11,Joao Fonseca,6,0.8181818181818182,0.5,Mens,88.0,655.0,1691.7227079916015,1608.11753211628,0.5,1.0,17.0,636.0,False,True,1,1,1,2,0,1,True,100.99999999999997
68,2024-02-23,1.52,Sebastian Baez,1.52,2.49,Sebastian Baez,Facundo Diaz Acosta,12,Facundo Diaz Acosta,11,0.6666666666666666,0.6363636363636364,Mens,30.0,59.0,1920.795964860007,1820.9645742671294,0.6,0.6,25.0,59.0,True,False,0,2,0,5,3,5,True,-100.0
69,2024-02-23,2.14,Thiago Seyboth Wild,1.7,2.14,Jaume Munar,Thiago Seyboth Wild,11,Thiago Seyboth Wild,10,0.5454545454545454,0.4,Mens,73.0,82.0,1830.406461314422,1751.7522199946004,0.5,0.2,52.0,74.0,False,True,1,1,1,2,0,1,True,114.00000000000001
71,2024-02-23,2.27,Dusan Lajovic,1.63,2.27,Laslo Djere,Laslo Djere,10,Dusan Lajovic,10,0.8,0.4,Mens,35.0,58.0,1730.986101161158,1609.8494211238342,0.7,0.4,27.0,23.0,False,True,1,2,1,3,0,3,True,127.0
72,2024-02-24,1.65,Francisco Cerundolo,1.65,2.23,Francisco Cerundolo,Francisco Cerundolo,11,Dusan Lajovic,11,0.7272727272727273,0.45454545454545453,Mens,22.0,58.0,1749.2993655013456,1662.3716091005708,0.6,0.5,19.0,23.0,True,False,0,1,0,3,2,3,True,-100.0
74,2024-02-24,1.92,Mariano Navone,1.87,1.92,Joao Fonseca,Mariano Navone,7,Mariano Navone,10,0.5714285714285714,1.0,Mens,655.0,113.0,1890.575126551446,1665.3035075487915,1.0,0.7,636.0,113.0,False,True,1,1,1,2,1,5,True,92.0
92,2024-02-29,1.78,Arthur Fils,1.78,2.02,Arthur Fils,Thiago Seyboth Wild,12,Thiago Seyboth Wild,11,0.6666666666666666,0.36363636363636365,Mens,44.0,73.0,1815.5812234056682,1609.431836792295,0.6,0.3,34.0,73.0,True,False,0,2,0,2,0,1,True,-100.0
