,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Predicted_Winner,Profit
371,2024-03-28,1.97,Simona Waltert,1.8,1.97,Elsa Jacquemot,Simona Waltert,10,Simona Waltert,10,0.7,0.6,Womens,157.0,181.0,1598.4188470647537,1545.814961869937,0.0,0.0,143.0,107.0,False,True,1,1,1,1,0,1,True,97.0
388,2024-03-29,2.52,Simona Waltert,1.5,2.52,Olga Danilovic,Olga Danilovic,10,Simona Waltert,10,1.0,0.6,Womens,133.0,181.0,1827.6555193595182,1633.4575661817967,0.8,0.0,93.0,107.0,False,True,1,1,1,2,0,2,True,152.0
389,2024-03-29,2.05,Moyuka Uchijima,1.73,2.05,Zeynep Sonmez,Zeynep Sonmez,9,Moyuka Uchijima,6,0.6666666666666666,0.6666666666666666,Womens,172.0,151.0,1658.3403819375492,1574.6311503739128,0.0,0.0,146.0,104.0,False,True,1,1,1,2,0,1,True,104.99999999999999
420,2024-03-31,2.31,Jessica Bouzas Maneiro,1.58,2.31,Irina Camelia Begu,Irina Camelia Begu,13,Jessica Bouzas Maneiro,10,0.7692307692307693,0.6,Womens,126.0,127.0,1771.5858236910665,1676.224412078466,0.4,0.3,22.0,124.0,False,True,1,1,1,1,1,4,True,131.0
484,2024-04-03,2.11,Magda Linette,1.72,2.11,Dayana Yastremska,Dayana Yastremska,10,Magda Linette,7,0.4,0.42857142857142855,Womens,32.0,63.0,1595.29161924399,1513.9645621792276,0.4,0.6,21.0,19.0,False,True,1,1,1,2,0,1,True,110.99999999999999
526,2024-04-04,1.75,Rebeka Masarova,1.75,2.01,Rebeka Masarova,Jessica Bouzas Maneiro,5,Jessica Bouzas Maneiro,10,0.2,0.6,Womens,91.0,104.0,1741.218294867053,1523.4918161402336,0.0,0.3,62.0,104.0,True,False,0,0,0,1,0,5,True,-100.0
584,2024-04-06,2.45,Kamilla Rakhimova,1.54,2.45,Cristina Bucsa,Kamilla Rakhimova,10,Kamilla Rakhimova,11,0.5,0.45454545454545453,Womens,75.0,92.0,1626.0328427797408,1573.6739858025464,0.0,0.2,56.0,65.0,False,True,1,1,1,2,0,1,True,145.00000000000003
594,2024-04-06,1.73,Rebeka Masarova,1.73,2.05,Rebeka Masarova,Olga Danilovic,6,Olga Danilovic,10,0.3333333333333333,1.0,Womens,91.0,128.0,1796.1054242146104,1593.1983247970363,0.0,0.8,62.0,93.0,True,False,0,0,0,0,1,3,True,-100.0
620,2024-04-07,2.46,Daria Kasatkina,1.55,2.46,Jessica Pegula,Daria Kasatkina,8,Daria Kasatkina,11,0.625,0.7272727272727273,Womens,5.0,11.0,1812.4724111896214,1701.0254245186436,0.7,0.8,3.0,8.0,False,True,1,1,1,1,0,1,True,146.0
644,2024-04-08,2.15,Camila Osorio,1.71,2.15,Marie Bouzkova,Camila Osorio,8,Camila Osorio,10,0.75,0.5,Womens,35.0,63.0,1790.5498445286091,1747.5340758141356,0.7,0.5,24.0,33.0,False,True,1,1,1,1,0,3,True,114.99999999999999
770,2024-04-14,2.19,Aliaksandra Sasnovich,1.65,2.19,Oceane Dodin,Aliaksandra Sasnovich,6,Aliaksandra Sasnovich,6,0.3333333333333333,0.5,Womens,77.0,109.0,1511.8485842962896,1449.87711062619,0.0,0.5,46.0,29.0,False,True,1,1,1,2,0,1,True,119.0
