,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Predicted_Winner,Profit
25,2024-07-02,2.07,Diana Shnaider,1.75,2.07,Karolina Pliskova,Diana Shnaider,6,Diana Shnaider,7,0.6666666666666666,0.8571428571428571,Womens,46.0,30.0,1767.2587366240853,1573.6770912115542,0.5,0.8,1.0,30.0,False,True,1,1,1,2,0,1,True,106.99999999999999
46,2024-07-05,1.65,Emma Navarro,1.65,2.23,Emma Navarro,Diana Shnaider,5,Diana Shnaider,9,0.6,0.8888888888888888,Womens,17.0,30.0,1800.4684071943036,1614.8179751971434,0.5,0.9,17.0,30.0,True,False,0,0,0,2,0,1,True,-100.0
59,2024-07-07,2.02,Donna Vekic,1.78,2.02,Paula Badosa,Paula Badosa,6,Donna Vekic,10,0.8333333333333334,0.7,Womens,93.0,37.0,1730.5485187787904,1689.0830043098777,0.8,0.6,2.0,19.0,False,True,1,1,1,2,0,1,True,102.0
60,2024-07-07,2.66,Elina Svitolina,1.48,2.66,Ons Jabeur,Ons Jabeur,10,Elina Svitolina,7,0.8,0.7142857142857143,Womens,10.0,21.0,1827.6056727022426,1672.3382759334047,0.8,0.8,2.0,3.0,False,True,1,1,1,1,0,2,True,166.0
76,2024-07-11,1.57,Jasmine Paolini,1.57,2.41,Jasmine Paolini,Donna Vekic,6,Donna Vekic,11,0.8333333333333334,0.6363636363636364,Womens,7.0,37.0,1779.1041416477835,1701.362327363713,0.8,0.6,7.0,19.0,True,False,0,0,0,2,1,2,True,-100.0
156,2025-06-12,1.6,Veronika Kudermetova,1.6,2.32,Veronika Kudermetova,Greet Minnen,9,Greet Minnen,10,0.5555555555555556,0.7,Womens,39.0,66.0,1744.7547512447325,1563.0007623578485,0.7,0.6,9.0,59.0,True,False,0,0,0,1,0,2,True,-100.0
160,2025-06-12,1.5,Bianca Andreescu,1.5,2.59,Bianca Andreescu,Lulu Sun,10,Lulu Sun,9,0.6,0.6666666666666666,Womens,118.0,43.0,1752.8852148313565,1639.27120275251,0.4,0.7,4.0,39.0,True,False,0,0,0,2,0,1,True,-100.0
169,2025-06-13,2.56,Rebecca Marino,1.49,2.56,Alexandra Eala,Alexandra Eala,8,Rebecca Marino,7,0.5,0.5714285714285714,Womens,77.0,107.0,1648.839551565293,1569.2087456841723,0.0,0.5,69.0,38.0,False,True,1,1,1,1,0,1,True,156.0
174,2025-06-14,1.9,Rebecca Marino,1.84,1.9,Celine Naef,Rebecca Marino,9,Rebecca Marino,8,0.5555555555555556,0.625,Womens,184.0,107.0,1622.5040430699817,1613.628168399929,0.5,0.7,121.0,38.0,False,True,1,1,1,2,0,2,True,89.99999999999999
179,2025-06-14,1.51,Gabriela Ruse Elena,1.51,2.56,Gabriela Ruse Elena,Gabriela Ruse Elena,6,Elisabetta Cocciaretto,7,0.8333333333333334,0.7142857142857143,Womens,80.0,123.0,1740.989861736102,1700.0449466933792,0.0,0.7,51.0,29.0,True,False,0,0,0,1,0,1,True,-100.0
