,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Profit
1673,2024-07-19,1.98,Tung lin Wu,1.77,1.98,Tristan Boyer,Tung lin Wu,10,Tung lin Wu,17,0.3,0.5882352941176471,Mens,213.0,272.0,1636.8149143634205,1609.593281261545,1.0,0.0,193.0,158.0,False,True,1,5,1,8,0,1,98.0
1691,2024-07-21,1.76,Harold Mayot,1.76,2.02,Harold Mayot,Emilio Nava,13,Emilio Nava,20,0.5384615384615384,0.5,Mens,122.0,150.0,1640.1469781886542,1634.0823027145434,0.5,0.5,108.0,124.0,True,False,0,2,0,3,0,7,-100.0
1705,2024-07-22,1.99,Mattia Bellucci,1.79,1.99,Adam Walton,Adam Walton,21,Mattia Bellucci,11,0.7142857142857143,0.45454545454545453,Mens,95.0,146.0,1825.7631705101176,1566.5248857790662,0.3,0.5,95.0,142.0,False,True,1,7,1,3,0,1,99.0
1713,2024-07-22,1.99,Rio Noguchi,1.75,1.99,Kaichi Uchida,Rio Noguchi,10,Rio Noguchi,13,0.4,0.5384615384615384,Mens,373.0,321.0,1587.7988640127553,1449.1654312258038,0.0,0.0,147.0,201.0,False,True,1,3,1,7,0,3,99.0
1718,2024-07-23,1.88,Tung lin Wu,1.85,1.88,Ricardas Berankis,Tung lin Wu,14,Tung lin Wu,13,0.7142857142857143,0.5384615384615384,Mens,299.0,297.0,1656.1585970489646,1593.7594587091594,0.0,0.0,50.0,158.0,False,True,1,5,1,9,0,2,87.99999999999999
1722,2024-07-23,1.83,Alejandro Davidovich Fokina,1.83,1.96,Alejandro Davidovich Fokina,Arthur Cazaux,12,Arthur Cazaux,10,0.6666666666666666,0.5,Mens,43.0,92.0,1744.296085636075,1619.556279116969,0.5,0.5,21.0,74.0,True,False,0,3,0,0,0,2,-100.0
1723,2024-07-23,1.84,Yoshihito Nishioka,1.84,1.96,Yoshihito Nishioka,Zachary Svajda,10,Zachary Svajda,11,0.6,0.36363636363636365,Mens,86.0,115.0,1692.8764161269328,1581.204818834824,0.3,0.3,24.0,113.0,True,False,0,4,0,1,0,1,-100.0
1776,2024-07-27,2.12,Jordan Thompson,1.71,2.12,Alejandro Davidovich Fokina,Jordan Thompson,20,Jordan Thompson,25,0.4,0.56,Mens,43.0,41.0,1804.3787060253512,1694.7101584502102,0.5,0.6,21.0,32.0,False,True,1,4,1,3,0,1,112.00000000000001
1809,2024-07-29,1.72,Stefan Dostanic,1.72,2.03,Stefan Dostanic,Stefan Dostanic,10,Ernesto Escobedo,11,0.8,0.5454545454545454,Mens,658.0,446.0,1661.1045973140867,1607.123056973346,0.0,0.0,572.0,67.0,True,False,0,0,0,1,0,3,-100.0
1823,2024-07-30,2.03,Justin Boulais,1.72,2.03,Strong Kirchheimer,Strong Kirchheimer,11,Justin Boulais,11,0.45454545454545453,0.2727272727272727,Mens,474.0,735.0,1529.4937442626601,1329.905339685519,0.0,0.0,375.0,483.0,False,True,1,1,1,2,0,1,102.99999999999999
1858,2024-07-31,1.75,Thanasi Kokkinakis,1.75,2.07,Thanasi Kokkinakis,Thanasi Kokkinakis,16,Max Purcell,16,0.4375,0.375,Mens,91.0,59.0,1740.0406815065028,1615.4848837580107,0.4,0.3,65.0,40.0,True,False,0,2,0,2,0,1,-100.0
1979,2024-08-07,1.74,Tomas Martin Etcheverry,1.74,2.1,Tomas Martin Etcheverry,Nicolas Jarry,13,Nicolas Jarry,20,0.23076923076923078,0.5,Mens,38.0,24.0,1759.3591525588613,1555.3821605273274,0.3,0.5,27.0,16.0,True,False,0,0,0,2,0,2,-100.0
2019,2024-08-08,1.84,Matteo Arnaldi,1.84,1.97,Matteo Arnaldi,Matteo Arnaldi,15,Mackenzie Mcdonald,15,0.6,0.4666666666666667,Mens,46.0,93.0,1699.15356475121,1632.369306909996,0.5,0.5,34.0,37.0,True,False,0,2,0,2,0,2,-100.0
