,Date,Winner_Odds,Winner,Fav_Odds,Dog_Odds,Fav,Elo_Fav,Fav_Games,Dog,Dog_Games,fav_percent,dog_percent,Sex,fav_rank,dog_rank,Elo_Fav_Elo,Elo_Dog_Elo,Fav_Top100,Dog_Top100,fav_rank_high,dog_rank_high,Fav_Win,DogWin,Fav_Loss,Fav_Loss_Count,Dog_Win,Dog_Win_Count,Fav_Wins_Last_30_Days_Before,Dog_Wins_Last_30_Days_Before,Profit
5210,2025-01-02,2.15,Marie Bouzkova,1.7,2.15,Victoria Azarenka,Victoria Azarenka,28,Marie Bouzkova,23,0.6071428571428571,0.391304347826087,Womens,20.0,44.0,1871.9945313534386,1695.661197198771,0.6,0.5,1.0,24.0,False,True,1,3,1,2,0,1,114.99999999999999
5213,2025-01-02,1.57,Mirra Andreeva,1.57,2.38,Mirra Andreeva,Linda Noskova,21,Linda Noskova,19,0.47619047619047616,0.5789473684210527,Womens,16.0,26.0,1884.9007683278162,1735.364401518389,0.5,0.6,16.0,25.0,True,False,0,4,0,2,0,3,-100.0
5215,2025-01-02,1.92,Alycia Parks,1.87,1.92,Greet Minnen,Alycia Parks,28,Alycia Parks,19,0.4642857142857143,0.3684210526315789,Womens,95.0,82.0,1638.7643835638157,1602.1947827921688,0.5,0.2,59.0,40.0,False,True,1,8,1,4,1,2,92.0
5217,2025-01-02,2.51,Kimberly Birrell,1.52,2.51,Anastasia Potapova,Kimberly Birrell,17,Kimberly Birrell,11,0.6470588235294118,0.2727272727272727,Womens,35.0,113.0,1723.806024490856,1708.6155238575514,0.5,0.2,21.0,100.0,False,True,1,5,1,5,0,1,150.99999999999997
5224,2025-01-02,2.44,Polina Kudermetova,1.55,2.44,Daria Kasatkina,Daria Kasatkina,15,Polina Kudermetova,10,0.8,0.5,Womens,9.0,107.0,1742.284985627502,1668.9771247611982,0.6,0.5,8.0,106.0,False,True,1,8,1,5,0,2,144.0
5235,2025-01-03,1.7,Anhelina Kalinina,1.7,2.14,Anhelina Kalinina,Kimberly Birrell,13,Kimberly Birrell,18,0.46153846153846156,0.2777777777777778,Womens,55.0,113.0,1748.8048105805824,1568.9531171991837,0.3,0.3,25.0,100.0,True,False,0,5,0,5,0,1,-100.0
5240,2025-01-03,2.44,Polina Kudermetova,1.55,2.44,Ashlyn Krueger,Polina Kudermetova,18,Polina Kudermetova,11,0.7222222222222222,0.5454545454545454,Womens,64.0,107.0,1706.7246429211718,1697.133375469894,0.4,0.6,51.0,106.0,False,True,1,6,1,6,1,3,144.0
5244,2025-01-03,2.16,Robin Montgomery,1.69,2.16,Bernarda Pera,Bernarda Pera,16,Robin Montgomery,12,0.75,0.3333333333333333,Womens,71.0,117.0,1685.1975788115608,1556.5178530623564,0.4,0.2,27.0,105.0,False,True,1,2,1,2,0,1,116.00000000000001
5252,2025-01-04,2.01,Alycia Parks,1.78,2.01,Katie Volynets,Alycia Parks,22,Alycia Parks,20,0.45454545454545453,0.25,Womens,58.0,82.0,1660.374881864024,1606.6866528508174,0.5,0.2,56.0,40.0,False,True,1,5,1,5,0,3,100.99999999999997
5256,2025-01-04,1.7,Kamilla Rakhimova,1.7,2.1,Kamilla Rakhimova,Kamilla Rakhimova,32,Jaqueline Cristian,16,0.375,0.25,Womens,60.0,85.0,1593.3077903852466,1520.2062394188981,0.2,0.3,60.0,57.0,True,False,0,5,0,3,0,3,-100.0
