,Winner,Dog,Dog_Record,Winner_Odds,Fav_Record,percent,percent2,Fav_Games,Dog_Games,Fav_Odds,Fav,Sex,Winx
0,Matteo Gigante,Stefano Travaglia,45%,1.6,50%,0.5,0.45454545454545453,10,11,1.6,Matteo Gigante,Mens,Fav
1,Gian Marco Moroni,Gian Marco Moroni,50%,2.17,60%,0.6,0.5,10,6,1.61,Lorenzo Giustino,Mens,Dog
2,Valentin Royer,Bu Yunchaokete,20%,1.66,70%,0.7,0.2,10,5,1.66,Valentin Royer,Mens,Fav
3,Alibek Kachmazov,Tristan Lamasine,57%,1.58,91%,0.9090909090909091,0.5714285714285714,11,7,1.58,Alibek Kachmazov,Mens,Fav
4,Antoine Hoang,Aldin Setkic,64%,1.28,50%,0.5,0.6363636363636364,10,11,1.28,Antoine Hoang,Mens,Fav
5,Kenny De Schepper,Matteo Martineau,60%,1.38,55%,0.5454545454545454,0.6,11,5,1.38,Kenny De Schepper,Mens,Fav
6,Christian Harrison,Michael Geerts,38%,1.73,73%,0.7272727272727273,0.38461538461538464,11,13,1.73,Christian Harrison,Mens,Fav
7,Camila Osorio,Camila Osorio,38%,2.47,48%,0.475,0.375,40,24,1.54,Alize Cornet,Womens,Dog
8,Tamara Zidansek,Astra Sharma,46%,1.57,64%,0.6363636363636364,0.46153846153846156,11,13,1.57,Tamara Zidansek,Womens,Fav
9,Lin Zhu,Xiyu Wang,42%,1.56,53%,0.5263157894736842,0.4166666666666667,19,12,1.56,Lin Zhu,Womens,Fav
10,Xin Yu Wang,Joanne Zuger,0%,1.24,75%,0.75,0.0,12,5,1.24,Xin Yu Wang,Womens,Fav
11,Jeong Jang Su,Jeong Jang Su,33%,3.89,83%,0.8333333333333334,0.3333333333333333,12,6,1.25,Katie Boulter,Womens,Dog
12,Lesia Tsurenko,Ysaline Bonaventure,62%,1.59,39%,0.3888888888888889,0.6153846153846154,18,13,1.59,Lesia Tsurenko,Womens,Fav
13,Marina Bassols Ribera,Sara Errani,30%,1.59,50%,0.5,0.3,10,10,1.59,Marina Bassols Ribera,Womens,Fav
14,Anastasia Potapova,Marina Bassols Ribera,60%,1.34,62%,0.6153846153846154,0.6,26,5,1.34,Anastasia Potapova,Womens,Fav
15,Maryna Zanevska,Dalma Galfi,60%,1.28,59%,0.5882352941176471,0.6,17,10,1.28,Maryna Zanevska,Womens,Fav
16,Mayar Sherif,Mayar Sherif,29%,2.98,60%,0.6,0.2857142857142857,25,7,1.39,Ana Konjuh,Womens,Dog
17,Olga Danilovic,Olga Danilovic,57%,2.52,60%,0.6,0.5714285714285714,10,7,1.49,Katie Swan,Womens,Dog
18,Johannes Haerteis,Johannes Haerteis,60%,2.05,40%,0.4,0.6,5,5,1.69,Jeremy Jahn,Mens,Dog
19,Mats Rosenkranz,Giovanni Oradini,17%,1.57,40%,0.4,0.16666666666666666,10,6,1.57,Mats Rosenkranz,Mens,Fav
20,Adam Walton,Yuki Mochizuki,20%,1.27,33%,0.3333333333333333,0.2,9,5,1.27,Adam Walton,Mens,Fav
21,Denis Yevseyev,Denis Yevseyev,40%,3.16,60%,0.6,0.4,10,10,1.31,Egor Gerasimov,Mens,Dog
22,Vitaliy Sachko,Vitaliy Sachko,50%,2.04,55%,0.5454545454545454,0.5,11,8,1.7,Alibek Kachmazov,Mens,Dog
23,David Goffin,David Goffin,30%,1.91,56%,0.5555555555555556,0.2962962962962963,36,27,1.84,Mikael Ymer,Mens,Dog
