Selection,Odds,Opposition,Resulted,Time,Result
Gabriela Ruse Elena,2.44,Xiyu Wang,True,01:10,Loss
Sebastian Korda,1.95,Roberto Bautista Agut,True,04:10,Win
Anna Blinkova,2.18,Xin Yu Wang,True,04:50,Win
Giovanni Mpetshi Perricard,2.59,Matheus Pucinelli De Almeida,True,05:05,Loss
Giovanni Oradini,2.24,Tennys Sandgren,True,05:10,Loss
Qinwen Zheng,3.3,Iga Swiatek,True,05:15,Loss
Gabriel Diallo,3.56,Ben Shelton,True,09:10,Win
Madison Keys,2.13,Darya Kasatkina,True,10:35,Win
Sloane Stephens,3.15,Aryna Sabalenka,True,11:10,Loss
Paula Badosa,1.2,Louisa Chirico,True,13:30,Win
Maximilian Marterer,2.22,James Duckworth,False,13:45,Loss
Li Tu,3.52,Christopher O'Connell,False,16:30,Loss
Roberto Carballes Baena,2.95,Mikael Ymer,False,21:00,Loss
Anna Bondar,3.02,Anastasia Potapova,False,21:00,Win
Ugo Humbert,1.19,Valentin Royer,False,22:00,Win
Vitaliy Sachko,3.07,Vasek Pospisil,False,22:00,Win
Jasmine Paolini,2.41,Jule Niemeier,False,22:30,Loss
Salvatore Caruso,2.19,Mattia Bellucci,False,23:30,Win
