Name,Service Games Won,Return Games Won
Nino Serdarusic,0.0,0.0
Max Hans Rehberg,0.57,0.18
Federico Arnaboldi,0.0,0.0
Mirko Martinez,0.0,0.0
Peter Gojowczyk,0.64,0.13
Eduardo Ribeiro,0.0,0.0
Ilya Snitari,0.0,0.0
Conner Huertas del Pino,0.0,0.0
Altug Celikbilek,0.83,0.22
August Holmgren,0.0,0.0
Federico Gaio,0.7,0.1
Jorge Martinez Martinez,0.0,0.0
Lloyd Harris,0.81,0.12
Juan Pablo Paz,0.0,0.0
Matias Zukas,0.0,0.0
Andres Martin,0.8,0.22
Facundo Juarez,0.0,0.0
Robert Strombachs,0.0,0.0
Roman Andres Burruchaga,0.0,0.0
Donald Young,0.0,0.0
Skander Mansouri,0.0,0.0
Jerome Kym,0.0,0.0
Luca Potenza,0.0,0.0
Peter Heller,0.0,0.0
Jay Clarke,0.7,0.06
Omni Kumar,0.0,0.0
Jules Marie,0.0,0.0
Kyle Edmund,0.7,0.19
Nerman Fatic,0.0,0.0
Adrian Menendez-Maceiras,0.0,0.0
Aldin Setkic,0.0,0.0
Marvin Moeller,0.0,0.0
Ivan Gakhov,0.81,0.0
Adam Walton,0.0,0.0
Khumoyun Sultanov,0.0,0.0
Jack Pinnington Jones,0.0,0.0
Arklon Huertas Del Pino Cordova,0.0,0.0
Mariano Navone,0.0,0.0
Henry Patten,0.0,0.0
Alafia Ayeni,0.0,0.0
Nam Hoang Ly,0.0,0.0
Malek Jaziri,0.7,0.14
Ezekiel Clark,0.0,0.0
Liam Draxl,0.0,0.0
Kacper Zuk,0.7,0.1
Ramkumar Ramanathan,0.83,0.1
Sam Riffice,0.0,0.0
David Jorda Sanchis,0.0,0.0
Andrea Collarini,0.0,0.0
Oscar Jose Gutierrez,0.0,0.0
Konstantin Kravchuk,0.0,0.0
Lucas Catarina,0.59,0.35
Carlos Alcaraz,0.84,0.31
Zdenek Kolar,0.78,0.14
Strong Kirchheimer,0.0,0.0
Pedro Sousa,0.5,0.22
Sidharth Rawat,0.0,0.0
Rafael Nadal,0.83,0.31
Jan Choinski,0.0,0.0
Wilson Leite,0.0,0.0
Eduard Esteve Lobato,0.0,0.0
Jaime Faria,0.0,0.0
Dane Sweeny,0.0,0.0
Karl Friberg,0.0,0.0
Yanki Erel,0.0,0.0
Fajing Sun,0.0,0.0
Casper Ruud,0.85,0.23
Matteo Gigante,0.0,0.0
Oleg Prihodko,0.0,0.0
Stefano Napolitano,0.0,0.0
Sebastian Prechtel,0.0,0.0
Stefanos Tsitsipas,0.86,0.21
Arthur Fils,0.75,0.13
Andrey Kuznetsov,0.53,0.35
Sebastian Gima,0.0,0.0
Igor Marcondes,0.0,0.0
Novak Djokovic,0.88,0.29
Seong-chan Hong,0.67,0.0
Carlos Gimeno Valero,0.43,0.0
Julian Lenz,0.0,0.0
Roberto Cid,0.0,0.0
Joao Sousa,0.75,0.22
Alexei Popyrin,0.8,0.12
Aleksandar Kovacevic,0.85,0.23
Juan Bautista Torres,0.0,0.0
Guido Andreozzi,0.0,0.0
Daniel Merida,0.0,0.0
Soonwoo Kwon,0.76,0.21
Pablo Andujar,0.65,0.28
Maximilian Marterer,0.75,0.09
Michael Geerts,0.5,0.0
Evgeny Donskoy,0.0,0.0
Simon Beaupain,0.0,0.0
Jordan Thompson,0.77,0.16
Jurij Rodionov,0.84,0.09
Alexandre Muller,0.0,0.0
Hamad Medjedovic,0.62,0.18
Alberto Barroso Campos,0.0,0.0
Marcello Serafini,0.0,0.0
Cristian Garin,0.7,0.25
Christopher Eubanks,0.87,0.11
Giulio Zeppieri,0.79,0.15
Harold Mayot,0.0,0.0
Akira Santillan,0.0,0.0
Patrick Kypson,0.0,0.0
Ugo Humbert,0.76,0.17
Fernando Verdasco,0.73,0.19
Zsombor Piros,0.0,0.0
Hernan Casanova,0.67,0.0
Govind Nanda,0.0,0.0
Rubin Statham,0.0,0.0
Marton Fucsovics,0.79,0.19
Federico Delbonis,0.72,0.21
Liam Broady,0.76,0.18
Robin Haase,0.63,0.0
Mirza Basic,0.74,0.19
Murphy Cassone,0.0,0.0
Roman Safiullin,0.86,0.19
Camilo Ugo Carabelli,0.65,0.21
Rinky Hijikata,0.73,0.12
Nicolas Mejia,0.0,0.0
Vladyslav Orlov,0.0,0.0
Mark Whitehouse,0.0,0.0
Facundo Bagnis,0.73,0.22
Elias Ymer,0.8,0.21
Carlos Taberner,0.68,0.23
Daniel Michalski,0.0,0.0
Giovanni Fonio,0.0,0.0
Gergely Madarasz,0.0,0.0
Gregoire Barrere,0.78,0.15
Yannick Hanfmann,0.81,0.19
Felipe Meligeni Alves,0.14,0.25
Gonzalo Lama,0.78,0.0
Daniel Cox,0.0,0.0
Aidan Mayo,0.0,0.0
Nikoloz Basilashvili,0.7,0.16
Zizou Bergs,0.83,0.17
Ryan Peniston,0.8,0.19
Alessandro Giannessi,0.75,0.18
Duje Ajdukovic,0.4,0.4
Sekou Bangoura,0.0,0.0
Taro Daniel,0.74,0.21
Aleksandar Vukic,0.85,0.13
Ricardas Berankis,0.75,0.16
Jonas Forejtek,0.0,0.0
Johan Nikles,0.69,0.21
Makoto Ochi,0.0,0.0
Thanasi Kokkinakis,0.84,0.14
Jack Sock,0.78,0.19
Alexander Ritschard,0.76,0.17
Sho Shimabukuro,0.8,0.0
Yuta Shimizu,0.38,0.13
Orlando Luz,0.0,0.0
Daniel Altmaier,0.72,0.15
Hugo Dellien,0.72,0.2
Geoffrey Blancaneaux,0.64,0.18
Tennys Sandgren,0.7,0.03
Juan Bautista Otegui,0.0,0.0
Adria Soriano Barrera,0.0,0.0
Tallon Griekspoor,0.81,0.15
Jelle Sels,0.0,0.0
Flavio Cobolli,0.53,0.24
Alastair Gray,0.83,0.19
Sebastian Fanselow,0.0,0.0
Thomas Fancutt,0.0,0.0
Ben Shelton,0.9,0.13
Matteo Arnaldi,0.8,0.13
Henri Laaksonen,0.66,0.13
Nikolas Sanchez Izquierdo,0.0,0.0
Dominik Palan,0.0,0.0
Alexandr Cozbinov,0.0,0.0
Tomas Machac,0.79,0.19
Luca Nardi,0.75,0.13
Fabian Marozsan,0.0,0.0
Oriol Roca Batalla,0.0,0.0
Cezar Cretu,0.0,0.0
Harry Wendelken,0.0,0.0
Vasek Pospisil,0.9,0.17
Lukas Klein,0.76,0.15
Enzo Couacaud,0.85,0.11
