,Winner,Dog,Dog_Record,Winner_Odds,Fav_Record,percent,percent2,Fav_Games,Dog_Games,Fav_Odds,Fav,Sex,Winx
0,Viktoria Kuzmova,Viktoria Kuzmova,69%,1.9,60%,0.6,0.6875,20,16,1.85,Cristina Bucsa,Womens,Dog
1,Astra Sharma,Ellen Perez,50%,1.56,50%,0.5,0.5,10,6,1.56,Astra Sharma,Womens,Fav
2,Stefano Travaglia,Dominik Palan,33%,1.27,60%,0.6,0.3333333333333333,10,6,1.27,Stefano Travaglia,Mens,Fav
3,Lorenzo Giustino,Giovanni Fonio,60%,1.81,55%,0.5454545454545454,0.6,11,5,1.81,Lorenzo Giustino,Mens,Fav
4,Valeria Savinykh,Natalija Stevanovic,20%,1.57,29%,0.2857142857142857,0.2,7,5,1.57,Valeria Savinykh,Womens,Fav
5,Olga Danilovic,Olga Danilovic,40%,4.15,80%,0.8,0.4,15,5,1.21,Clara Tauson,Womens,Dog
6,Linda Noskova,Viktoria Kuzmova,55%,1.38,67%,0.6666666666666666,0.5454545454545454,12,11,1.38,Linda Noskova,Womens,Fav
7,Ana Konjuh,Simona Waltert,40%,1.59,44%,0.4444444444444444,0.4,18,5,1.59,Ana Konjuh,Womens,Fav
8,Rebeka Masarova,Kaja Juvan,56%,1.69,50%,0.5,0.5555555555555556,12,18,1.69,Rebeka Masarova,Womens,Fav
9,Marina Bassols Ribera,Marina Bassols Ribera,40%,3.15,50%,0.5,0.4,32,5,1.34,Varvara Gracheva,Womens,Dog
10,Katie Swan,Katie Swan,40%,3.04,58%,0.5833333333333334,0.4,12,5,1.35,Camila Giorgi,Womens,Dog
11,Erika Andreeva,Viktoriya Tomova,47%,1.59,50%,0.5,0.4666666666666667,10,15,1.59,Erika Andreeva,Womens,Fav
12,Diane Parry,Diane Parry,44%,2.09,42%,0.4166666666666667,0.4444444444444444,12,9,1.69,Jessika Ponchet,Womens,Dog
13,Daniel Merida Aguilar,Daniel Merida Aguilar,40%,2.42,40%,0.4,0.4,5,5,1.5,Alejandro Moro Canas,Mens,Dog
14,Erika Andreeva,Diane Parry,36%,1.79,50%,0.5,0.36363636363636365,10,11,1.79,Erika Andreeva,Womens,Fav
15,Giovanni Oradini,Giovanni Oradini,80%,2.46,50%,0.5,0.8,10,5,1.49,Matthias Bachinger,Mens,Dog
16,Novak Djokovic,Stefanos Tsitsipas,66%,1.21,86%,0.8571428571428571,0.660377358490566,35,53,1.21,Novak Djokovic,Mens,Fav
17,David Goffin,Gauthier Onclin,80%,1.2,64%,0.6363636363636364,0.8,11,5,1.2,David Goffin,Mens,Fav
18,Mikael Ymer,Altug Celikbilek,50%,1.15,60%,0.6,0.5,10,12,1.15,Mikael Ymer,Mens,Fav
19,Arthur Fils,Calvin Hemery,67%,1.25,60%,0.6,0.6666666666666666,10,6,1.25,Arthur Fils,Mens,Fav
20,Johannes Haerteis,Johannes Haerteis,33%,2.33,60%,0.6,0.3333333333333333,10,6,1.54,Andrea Arnaboldi,Mens,Dog
21,Ulises Blanch,Mats Rosenkranz,30%,1.33,55%,0.5454545454545454,0.3,11,10,1.33,Ulises Blanch,Mens,Fav
22,Egor Gerasimov,Kai Wehnelt,20%,1.23,60%,0.6,0.2,10,5,1.23,Egor Gerasimov,Mens,Fav
23,Simona Waltert,Simona Waltert,40%,2.01,68%,0.6842105263157895,0.4,19,5,1.75,Magdalena Frech,Womens,Dog
24,Ana Konjuh,Kateryna Baindl,50%,1.64,57%,0.5714285714285714,0.5,21,16,1.64,Ana Konjuh,Womens,Fav
25,Kaja Juvan,Kaja Juvan,56%,2.34,42%,0.42105263157894735,0.5625,19,16,1.56,Anna Lena Friedsam,Womens,Dog
26,Mikael Ymer,Fabian Marozsan,80%,1.29,50%,0.5,0.8,10,5,1.29,Mikael Ymer,Mens,Fav
27,David Goffin,Yannick Hanfmann,33%,1.43,33%,0.3333333333333333,0.3333333333333333,15,6,1.43,David Goffin,Mens,Fav
28,Gregoire Barrere,Geoffrey Blancaneaux,36%,1.36,44%,0.4444444444444444,0.36363636363636365,27,11,1.36,Gregoire Barrere,Mens,Fav
29,Calvin Hemery,Calvin Hemery,67%,3.84,64%,0.6363636363636364,0.6666666666666666,11,6,1.24,Dominic Stricker,Mens,Dog
30,Gauthier Onclin,Kaichi Uchida,62%,1.56,67%,0.6666666666666666,0.625,6,16,1.56,Gauthier Onclin,Mens,Fav
31,Arthur Fils,Otto Virtanen,36%,1.63,60%,0.6,0.36363636363636365,10,11,1.63,Arthur Fils,Mens,Fav
32,Aryna Sabalenka,Elena Rybakina,55%,1.8,60%,0.6046511627906976,0.5476190476190477,43,42,1.8,Aryna Sabalenka,Womens,Fav
33,Gregoire Barrere,Lucas Pouille,50%,1.57,83%,0.8333333333333334,0.5,12,10,1.57,Gregoire Barrere,Mens,Fav
34,Calvin Hemery,Calvin Hemery,40%,2.27,55%,0.5454545454545454,0.4,11,5,1.59,Evan Furness,Mens,Dog
35,Geoffrey Blancaneaux,Geoffrey Blancaneaux,11%,3.45,40%,0.4,0.1111111111111111,15,9,1.28,Luca Van Assche,Mens,Dog
