"Sex","HigherLower","FavDog","AfterDate"
"Womens","Higher","Fav","2022-01-01"
"Womens","Higher","Fav","2022-07-01"
"Womens","Higher","Dog","2022-01-01"
"Womens","Higher","Dog","2022-07-01"
"Womens","Lower","Fav","2022-01-01"
"Womens","Lower","Fav","2022-07-01"
"Womens","Lower","Dog","2022-01-01"
"Womens","Lower","Dog","2022-07-01"
"Mens","Higher","Fav","2022-01-01"
"Mens","Higher","Fav","2022-07-01"
"Mens","Higher","Dog","2022-01-01"
"Mens","Higher","Dog","2022-07-01"
"Mens","Lower","Fav","2022-01-01"
"Mens","Lower","Fav","2022-07-01"
"Mens","Lower","Dog","2022-01-01"
"Mens","Lower","Dog","2022-07-01"
