Name,Service Games Won,Return Games Won
Aliaksandra Sasnovich,67.2,37.9
Camila Giorgi,64.8,33.9
Lauren Davis,61.8,32.8
Karolina Pliskova,70.7,30.7
Donna Vekic,70.3,32.6
Panna Udvardy,55.2,28.2
Kaia Kanepi,71.7,31.8
Tatjana Maria,76.3,33.8
Kaja Juvan,69.8,34.9
Ajla Tomljanovic,64.4,37.5
Marta Kostyuk,63.5,34.7
Viktoriya Tomova,63.0,30.3
Irina-Camelia Begu,69.8,35.1
Nuria Parrizas Diaz,60.1,35.2
Linda Noskova,68.8,25.6
Jil Teichmann,65.4,34.3
Tereza Martincova,65.4,29.2
Qiang Wang,67.0,34.0
Alizé Cornet,66.8,36.4
Tamara Korpatsch,57.8,26.7
Kamilla Rakhimova,60.2,33.2
Sloane Stephens,62.7,34.8
Emma Raducanu,68.5,38.9
Caty Mcnally,64.8,31.5
Sorana Cirstea,65.2,38.3
Viktorija Golubic,56.8,39.6
Varvara Gracheva,53.8,30.0
Linda Fruhvirtova,65.9,35.3
Ysaline Bonaventure,72.2,29.1
Petra Martic,73.9,29.2
Leylah Fernandez,73.4,24.4
Yue Yuan,66.1,18.6
Harriet Dart,61.6,34.6
Alison Riske-Amritraj,69.1,32.2
Anna Bondar,70.3,30.3
Marketa Vondrousova,72.9,34.0
Naomi Osaka,79.0,30.6
Anna Blinkova,62.6,32.8
Anna Karolina Schmiedlova,50.7,33.6
Anastasia Potapova,63.1,41.7
Maryna Zanevska,63.2,36.3
Kateryna Baindl,54.9,37.4
Bernarda Pera,73.4,39.6
Camila Osorio,57.5,36.8
Bianca Andreescu,69.7,37.9
Julia Grabher,63.8,39.6
Shelby Rogers,71.8,27.0
Dalma Galfi,67.1,31.8
Katerina Siniakova,60.0,36.3
Tamara Zidansek,59.7,33.1
Ana Bogdan,70.3,41.0
Xinyu Wang,65.4,27.0
Madison Keys,73.8,31.4
Magda Linette,69.5,31.6
Belinda Bencic,77.1,31.6
Xiyu Wang,68.3,31.9
Paula Badosa,68.4,36.0
Yulia Putintseva,64.9,36.6
Danielle Collins,70.7,37.1
Mayar Sherif,64.1,27.4
Beatriz Haddad Maia,71.5,31.2
Anhelina Kalinina,64.1,32.9
Petra Kvitova,74.3,29.9
Daria Saville,67.6,34.2
Anett Kontaveit,70.4,37.9
Alison Van Uytvanck,71.5,32.2
Jelena Ostapenko,67.7,40.2
Garbiñe Muguruza,68.7,28.7
Iga Swiatek,75.7,49.5
Ekaterina Alexandrova,71.6,39.2
Danka Kovinic,59.0,28.4
Lucia Bronzetti,64.1,33.0
Liudmila Samsonova,81.0,31.1
Ons Jabeur,72.0,40.2
Barbora Krejcikova,74.3,35.0
Madison Brengle,52.2,38.6
Jessica Pegula,72.7,37.2
Elena Rybakina,78.2,30.3
Anna Kalinskaya,68.7,30.0
Caroline Garcia,80.3,27.1
Amanda Anisimova,72.1,36.9
Claire Liu,62.6,37.2
Aryna Sabalenka,67.7,36.9
Shuai Zhang,69.8,31.4
